영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
여관으로 가출한 유부녀,2019-07-06,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,니시다 유키오,
마사지사와 불륜폭발,2019-09-06,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,니시다 츠츠미,
출장이 잦은 남편과 가라오케 알바남,2019-09-06,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,니시다 하라오,
착한자매,,2100000,2100000,431,431,2,10,일본,,[국내] 청소년 관람불가,멜로/로맨스,니시무라 쇼고로,"카자마츠리 유키,나이토 타카시,야마구치 치에"
들키면 어쩌려고 - 아내의 대학선배,2019-10-07,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,니시무라 켄지,
옷을 벗고 알몸으로 주인님과,2019-09-06,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),니시무라 켄지,무카이 아이
새엄마랑은 처음인데,2019-05-06,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,니시무라 켄타,
완전한 사육 2 - 사랑의 40일,2004-06-04,9000,9000,2,2,1,2,일본,(주)창엔터테인먼트,18세관람가,범죄,니시야마 요이치,"후카미 리에,히다 야스토,타케나카 나오토"
뜨겁게 젖은 사케의 비밀,2014-12-23,14000,14000,2,2,1,1,일본,(주)코랄픽쳐스,청소년관람불가,드라마,니시야마 요이치,"후지타 토시야,조노 미사"
강제섹스: 그 남자의 섹스방식,2015-09-18,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,니시야마 히데아키,"사이토 리에,히가시후쿠 카나코"
우리 의사 선생님,2010-04-29,0,27705000,0,3806,1,1,일본,(주)영화사 진진,12세이상관람가,드라마,니시카와 미와,"쇼후쿠테이 츠루베,카가와 테루유키,에이타,이가와 하루카,요 키미코,야치구사 카오루"
아주 긴 변명,2017-02-16,67454200,67454200,8974,8974,49,775,일본,(주)영화사 진진,15세이상관람가,드라마,니시카와 미와,"모토키 마사히로,후카츠 에리,쿠로키 하루,이케마츠 소스케"
은하철도의 꿈,2015-04-09,36446000,36651000,4938,4973,85,481,일본,(주)영화사오원,전체관람가,애니메이션,니시쿠보 미즈호,"요코야마 코타,이치무라 마사치카,나카마 유키에"
가을의 마티네,2020-12-31,2033110,2033110,321,321,16,19,일본,찬란,12세이상관람가,멜로/로맨스,니시타니 히로시,"후쿠야마 마사하루,이시다 유리코"
평일 오후 3시의 연인,2019-06-13,14010980,14010980,1589,1589,20,187,일본,(주)팝엔터테인먼트,15세이상관람가,드라마,니시타니 히로시,"우에토 아야,사이토 타쿠미,이토 아유미"
공유하는 사랑,,14,72014,14,28,1,1,인도,,,코미디,니아 디 나타,"샹티,아티카 하시홀란,리아 이라완"
음란하게 짜릿하게,2014-12-11,14000,14000,2,2,1,1,일본,(유)조이앤컨텐츠그룹,청소년관람불가,멜로/로맨스,니이쟈토 모사쿠,"미즈하라 나쇼,지바 나오노"
음란한 첫경험,,30000,30000,10,10,1,1,일본,,[국내] 청소년 관람불가,드라마,니이쟈토 모사쿠,"나다사카 마이,요시오카 무츠오"
사쿠라의 비밀애,,30000,30000,10,10,1,1,일본,,[국내] 청소년 관람불가,에로,니자토 다케루,"요시자와 아키호,하나노 고코로"
불륜 현장,2014-04-02,40000,40000,10,10,1,1,일본,(유)조이앤컨텐츠그룹,청소년관람불가,드라마,니자토 다케루,"나가사와 츠구미,나가쿠라 다이스케,나리타 아이"
겡: 모험의 시작,,46000,46000,19,19,1,3,말레이시아,,,,니잠 라작,
매직키드 보보,2017-03-01,124421200,124421200,16643,16643,219,1362,말레이시아,BoXoo 엔터테인먼트,[국내] 전체 관람가,애니메이션,니잠 라작,
나타샤,1974-09-07,50000,756000,25,259,1,1,그리스,,전체 관람가 ,전쟁,니코스 포스코로스,"알리키 부기우클라키,디미트리스 파파마이클,코스타스 카라스"
달나라에 사는 여인,2019-12-19,115000,115000,25,25,5,15,프랑스,노바엔터테인먼트,청소년관람불가,드라마,니콜 가르시아,"마리옹 꼬띠아르,알렉스 브렌데뮬"
시간을 달려서,2017-09-22,250000,250000,50,50,1,1,네덜란드,(주)엘케이픽쳐스,15세이상관람가,코미디,니콜 반 킬스돈크,"캐스퍼 반 쿠텐,마루스츠카 뎃머스,마르틴 라케메이어"
파리 1900,,376000,376000,76,76,1,4,프랑스,,,,니콜 베드레스,
파올로 이야기,,17732,17732,26,26,1,3,프랑스,,,애니메이션,니콜라 리구오리,
벨과 세바스찬,2014-03-20,108000,220029000,18,30900,1,2,프랑스,"그린나래미디어(주),주식회사 노버스엔터테인먼트",전체관람가,어드벤처,니콜라 바니에,"펠릭스 보쉬,체키 카료,얼바인 캔슬리어,마고 샤텔리에,디미트리 스토로지,안드레 피치만"
소리의 정원,,81000,81000,18,18,1,2,스위스,,,다큐멘터리,니콜라 벨루치,
알파벳 모험담,,5000,5000,2,2,1,2,이탈리아,,,다큐멘터리,니콜라 캄피오티,
추적자,,131000,131000,25,25,1,3,미국,,,,니콜라스 레이,
그들은 밤에 산다,,266000,620000,51,123,1,4,미국,,,범죄,니콜라스 레이,"캐시 오도넬,팔리 그레인저,하워드 다 실바"
어둠 속에서,,134000,720000,32,133,1,4,미국,,,,니콜라스 레이,
고독한 영혼,,334000,2653000,72,580,1,3,미국,,12세 관람가 ,드라마,니콜라스 레이,"험프리 보가트,글로리아 그레이엄,프랭크 러브조이"
날으는 해병대,,679000,2355000,337,895,1,12,미국,,,미국,니콜라스 레이,"존 웨인,로버트 라이언,돈 테일러"
야생의 순수,,1714000,5549000,854,2626,1,32,프랑스,,,프랑스,니콜라스 레이,"안소니 퀸,요코 타니,카를로"
자니 기타,,2619000,13323000,1307,6258,1,33,미국,,,,니콜라스 레이,
북경의 55일,,3702000,12817000,1851,6373,1,22,미국,,,,니콜라스 레이,
이유없는 반항,1971-03-26,805000,16108500,312,7049,1,22,미국,,전체 관람가 ,드라마,니콜라스 레이,"제임스 딘,나탈리 우드,살 미네오"
