영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
새엄마들 2019 - 무삭제,2019-10-02,5000,5000,1,1,1,1,한국,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,왕지방,
장모님들의 사랑 - 무삭제,2020-07-03,5000,5000,1,1,1,1,한국,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,왕지방,
참한 누나 - 무삭제,2020-04-03,5000,5000,1,1,1,1,한국,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,왕지방,
구속,2020-07-02,6000,6000,1,1,1,1,한국,(주)메이크아트,청소년관람불가,드라마,왕지방,조완진
나는 야한 여자,2020-06-25,6000,6000,1,1,1,1,한국,(주)메이크아트,청소년관람불가,드라마,왕지방,
세 여자,2020-06-02,6000,6000,1,1,1,1,한국,(주)나우콘텐츠,청소년관람불가,멜로/로맨스,왕지방,"조완진,민도윤,안소희"
식스센스:속 보이는 여자들,2020-06-12,6000,6000,1,1,1,1,한국,(주)메이크아트,청소년관람불가,드라마,왕지방,
아내의 세계,2020-06-26,6000,6000,1,1,1,1,한국,(주)메이크아트,청소년관람불가,드라마,왕지방,조완진
착한처제 2019 무삭제,2019-11-27,10000,10000,2,2,2,2,한국,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,왕지방,
남매의 세계,2020-11-03,90000,90000,18,18,1,1,한국,(주)메이크아트,청소년관람불가,멜로/로맨스,왕지방,진시아
장모님들의 사랑,2020-05-13,689000,689000,138,138,20,20,한국,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,왕지방,
가싶녀,2019-12-12,895000,895000,161,161,21,21,한국,(주)나우콘텐츠,청소년관람불가,멜로/로맨스,왕지방,"조완진,전천후"
몽정 : 파는여자,2020-04-09,936000,936000,169,169,20,20,한국,(주)나우콘텐츠,청소년관람불가,멜로/로맨스,왕지방,"안소희,조완진,민도윤,이수"
주말 오후6시의 연인,2020-01-16,943000,943000,171,171,20,20,한국,(주)나우콘텐츠,청소년관람불가,멜로/로맨스,왕지방,"민도윤,조완진"
여동생 커플 훔쳐보기,2018-04-19,1065000,1065000,188,188,20,20,한국,(주)로이테미디어,청소년관람불가,멜로/로맨스,왕지방,이수
새엄마들 2019,2019-07-23,1289000,1289000,245,245,21,21,한국,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,왕지방,
아빠와 딸,2019-06-07,1407000,1407000,248,248,20,20,한국,(주)디에이치미디어,청소년관람불가,멜로/로맨스,왕지방,"조완진,진시아"
참한 누나,2020-02-19,1323000,1323000,252,252,19,19,한국,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,왕지방,
젊은 모녀,2020-09-10,1562000,1562000,269,269,20,20,한국,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,왕지방,
