■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-08-06,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2007-01-01~2008-12-31   영화구분: 일반영화   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
25,미녀는 괴로워,2006-12-14,"17,373,409,400",0.9%,"36,292,848,900","2,856,615","6,081,480",365,"50,452",한국,한국,"리얼라이즈픽쳐스(주),케이엠컬쳐㈜",(주)쇼박스,12세이상관람가,"멜로/로맨스,코미디",김용화,"김아중,주진모,김현숙,신미영,김원,조아영,신정원,차원호,원동연,이보라,장재권,전고은,임민승,윤지원,박성용,박성현,오재진,김정만,정명희,오경성,김종태,이혜림,이종필,박노식,김용건,박휘순,이원종,이한위,류승수,정민성,김지석"
26,슈렉3,2007-06-06,"17,898,427,500",1.0%,"17,898,427,500","2,826,957","2,826,957",620,"64,640",미국,미국,드림웍스 애니메이션,CJ ENM,전체관람가,"애니메이션,코미디,어드벤처,가족,판타지","크리스 밀러,라맨 허","카메론 디아즈,마이크 마이어스"
27,핸콕,2008-07-02,"17,844,690,500",1.0%,"17,844,690,500","2,722,574","2,722,574",602,"60,236",미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,드라마,코미디",피터 버그,"윌 스미스,샤를리즈 테론"
28,1번가의 기적,2007-02-14,"15,494,122,100",0.8%,"15,494,122,100","2,535,450","2,535,450",340,"54,566",한국,한국,(주)두사부필름,CJ ENM,15세이상관람가,"드라마,코미디",윤제균,"하지원,임창정,강예원,정두홍,박용주,신윤주,남동협,채백호,최광섭,김서경,곽진석,오수현,이규원,주현,이용녀,김희원,박영수,정민성,곽진석"
29,나는 전설이다,2007-12-12,"16,084,527,000",0.9%,"16,084,527,000","2,460,225","2,460,225",447,"43,681",미국,미국,워너 브러더스 픽쳐스,워너브러더스 코리아(주),12세이상관람가,"SF,드라마,액션",프란시스 로렌스,"윌 스미스,알리스 브라가"
30,테이큰,2008-04-09,"15,971,449,000",0.9%,"15,971,449,000","2,359,061","2,359,061",256,"60,944",프랑스,프랑스,,㈜스튜디오이쩜영,청소년관람불가,"범죄,스릴러,액션",피에르 모렐,"리암 니슨,매기 그레이스"
31,미인도,2008-11-13,"15,652,272,500",0.8%,"15,652,272,500","2,341,521","2,341,521",450,"69,444",한국,한국,"㈜이룸영화사,(주)영화사참",CJ ENM,청소년관람불가,"사극,드라마,멜로/로맨스",전윤수,"김민선,김영호,김남길,추자현,한명구,이성훈,강민호,박예슬,박용,김형수,신주희,황선환,권정훈,보리,채송화,이상용,윤석주,이석,라미란,김규리,주영호,전국환,오만석,권병길,신유주,김기태,김승훈,김영웅,박지일"
32,이글 아이,2008-10-09,"14,869,812,500",0.8%,"14,869,812,500","2,292,172","2,292,172",407,"59,132",미국,미국,,CJ ENM,12세이상관람가,"액션,스릴러,미스터리",D.J. 카루소,"샤이아 라보프,미셸 모나한,도니 제프콧"
33,어거스트 러쉬,2007-11-29,"14,178,654,500",0.8%,"14,178,654,500","2,207,468","2,207,468",271,"40,878",미국,미국,사우스포우 엔터테인먼트,"(주)영화사 그램,CJ ENM",전체관람가,드라마,커스틴 쉐리단,"프레디 하이모어,조나단 리스 마이어스,케리 러셀"
34,007 퀀텀 오브 솔러스,2008-11-05,"14,389,307,000",0.8%,"14,389,307,000","2,205,159","2,205,159",520,"70,774",미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,"액션,어드벤처",마크 포스터,"다니엘 크레이그,올가 큐리렌코,매티유 아맬릭"
