,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
2978,대박 엉덩이 섹스,2019-03-04,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,타카사카 미타니,
2979,엉덩이 홀릭의 그녀들,2019-02-12,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카사카 미타니,
2980,여자가 된 불륜녀,2017-12-07,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카사카 미타카,
2981,불륜고백-일반녀,2017-11-02,12000,12000,2,2,1,1,일본,,[국내] 청소년 관람불가,에로,타카사카 유키오,
2982,평일낮의 아내 도촬,2018-07-12,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,일본,타카사카 유타,
2983,폭발시켜주는 간호사,2019-09-03,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카사카 카타오,
2984,목욕탕 가는 아가씨를 유혹,2019-04-12,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카사카 켄타로,
2985,빽바지의 간호도우미,2019-01-07,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,드라마,타카사카 켄타로,
2986,병아리 간호실습생의 마사지,2019-10-04,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카시마 유키오,
2987,굿바이 마마,2016-11-28,100000,100000,10,10,1,1,일본,(주)에스와이미디어,청소년관람불가,드라마,타카오미 오가타,"이자와 에미코,츠치야 키노"
2988,체온 – 그녀의 온도,2013-09-26,8136000,8136000,1591,1591,5,29,일본,(주)미디어데이,청소년관람불가,드라마,타카오미 오가타,"사쿠라기 린,이시자키 차베타로"
2989,목욕탕 속 사정,2019-09-26,2000,2000,1,1,1,1,일본,(주)에스와이미디어,청소년관람불가,멜로/로맨스,타카오카 주이치,"후지이 켄토,한다 사사,스노하라 미키"
2990,완벽한 여비서,2017-11-17,5000,5000,1,1,1,1,일본,,[국내] 청소년 관람불가,일본,타카오카 주이치,
2991,완전한 사육 2015 무삭제판,2015-03-05,14000,14000,2,2,1,1,일본,(주)케이알씨지,청소년관람불가,멜로/로맨스,타카자와 요시키,나나사키 푸카
2992,허니와 클로버,2007-01-11,95000,274729000,19,42943,1,1,일본,스폰지,전체관람가,멜로/로맨스,타카타 마사히로,"아오이 유우,사쿠라이 쇼"
2993,유부녀 만남 사이트,2016-04-27,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타카하라 요시카즈,키타가와 에미
2994,갈망,2020-04-29,5000,5000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카하라 히데카즈,오다 아스카
2995,흔들흔들,2020-04-29,5000,5000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카하라 히데카즈,나가오카 레이코
2996,옆집 누나 오후의 정사,2012-07-10,58000,58000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타카하라 히데카즈,료우
2997,리얼다큐 섹스실전강좌,2017-09-16,100000,100000,20,20,1,1,일본,(주)에스와이미디어,청소년관람불가,멜로/로맨스,타카하라 히데카즈,쿠로다 마사토시 마사히로
2998,오르가즘 레슨 페티쉬편,2017-09-15,100000,100000,20,20,1,1,일본,(주)에스와이미디어,청소년관람불가,멜로/로맨스,타카하라 히데카즈,아리스에 고
2999,오르가즘 레슨 하드코어편,2017-09-15,100000,100000,20,20,1,1,일본,(주)에스와이미디어,청소년관람불가,멜로/로맨스,타카하라 히데카즈,"아리스에 고,미즈사와 마키"
3000,남자기숙사의 여관리인,2017-08-10,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카하시 미타카,
3001,원초적 관계,2019-02-21,1183000,1183000,244,244,19,20,일본,,[국내] 청소년 관람불가,멜로/로맨스,타카하시 반메이,
3002,백자의 사람 : 조선의 흙이 되다,2012-07-12,19808500,19808500,2912,2912,21,250,일본,(주)미로비젼,전체관람가,드라마,타카하시 반메이,"요시자와 히사시,배수빈,전수지,사카이 와카나,이시가키 유마,곽민호"
3003,극장판 요괴워치: 포에버 프렌즈,2020-10-15,120684750,120684750,15386,15386,422,2605,일본,(주)씨제이이엔엠,전체관람가,애니메이션,타카하시 시게하루,"신용우,정혜원,박리나,김현지"
3004,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016-07-20,-1827692216,-1827692216,330725,330725,403,6607,일본,(주)씨제이이엔엠,전체관람가,애니메이션,타카하시 시게하루,"토마츠 하루카,유키 아오이,세키 토모카즈,코자쿠라 에츠코"
