,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
28814,미시시피의 도박사,,693000,1431000,344,713,1,8,프랑스,,,멜로/로맨스,루돌프 마테,"타이론 파워,파이퍼 로리"
29594,3인의 난폭한 사람들,,304000,1720000,152,912,1,3,미국,,,서부극(웨스턴),루돌프 마테,"찰톤 헤스톤,앤 박스터,길버트 롤랜드"
27706,300 스파르탄,,5123000,10281000,2559,5173,1,42,미국,,,전쟁,루돌프 마테,"리차드 에건,랄프 리차드슨"
7408,마리안의 허상,,1211000,1211000,182,182,1,3,네덜란드,,,드라마,루돌프 반 덴 버그,"리세트 안소니,케네스 헤디게인"
24994,다크 하트,2018-12-14,2000,2000,1,1,1,1,미국,(주)시네마리퍼블릭,청소년관람불가,스릴러,루돌프 부이텐닥,"카일 슈미트,소냐 킨스키,루카스 틸,레이첼 블랜차드"
1855,올드르시흐 세들라체크 연대기,,28400,28400,121,121,1,1,체코,,,애니메이션,루돌프 스미트,
16636,보이지 않는 숨결,,56000,56000,8,8,2,4,캐나다,,청소년관람불가,스릴러,루디 바리셸로,"장 니콜라스 베로,줄리 리브리턴,이사벨 리처"
17248,런 테이큰,,4000,4000,1,1,1,1,캐나다,스크린조이,15세이상관람가,액션,루바 나다,"알렉산더 시디그,조슈아 잭슨,마리사 토메이"
15841,도시의 거리,,128000,128000,27,27,1,3,미국,,,범죄,루벤 마물리안,"게리 쿠퍼,실비아 시드니"
15419,러브 미 투나잇,,202000,202000,44,44,1,3,미국,,,뮤지컬,루벤 마물리안,
19831,부활,,1616000,1616000,808,808,1,18,미국,,,드라마,루벤 마물리안,프레드릭 마치
29703,혈과사,,529000,2377000,135,1059,1,9,미국,,,드라마,루벤 마물리안,"린다 다넬,타이론 파워,리타 헤이워드"
19390,황금 주먹,,3426000,3426000,1713,1713,1,20,미국,,,드라마,루벤 마물리안,"바바라 스탠윅,아돌프 멘주"
28155,실크 스타킹,,2004000,3415000,1022,1733,1,35,미국,,,드라마,루벤 마물리안,"프레드 아스테어,시드 채리스"
31981,포스 마쥬어: 화이트 베케이션,2015-03-12,131000,40773400,19,5449,1,1,스웨덴,(주)블룸즈베리리소시스리미티드,15세이상관람가,드라마,루벤 외스틀룬드,"요하네스 쿤케,리사 로벤 콩슬리"
28998,더 스퀘어,2018-08-02,1514000,139216400,269,17033,1,10,스웨덴,아이 엠,15세이상관람가,코미디,루벤 외스틀룬드,"클라에스 방,엘리자베스 모스,도미닉 웨스트"
26943,좀비랜드: 더블 탭,2019-11-13,1176243880,1176243880,136883,136883,585,13541,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,액션,루벤 플레셔,"우디 해럴슨,제시 아이젠버그,아비게일 브레스린,엠마 스톤"
18185,베놈,2018-10-03,-259527161,-259527161,3888096,3888096,1308,116149,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,액션,루벤 플레셔,"톰 하디,미쉘 윌리엄스,리즈 아메드,제니 슬레이트"
25630,알.이.씨 오큐판트,2017-11-15,3000,3000,1,1,1,1,미국,주식회사 레드아이스,15세이상관람가,공포(호러),루스 엠마누엘,로버트 피카르도
22467,더 레슨: 마지막 수업,2017-01-02,300000,300000,60,60,1,1,영국,(주)블루브릭,청소년관람불가,공포(호러),루스 플랫,"로버트 핸즈,에번 벤들,미하엘라 프로할로바,톰 콕스,로리 콜타트"
16404,더 컬링,2016-04-08,100000,100000,10,10,1,1,미국,(주)콘텐츠윙,15세이상관람가,공포(호러),루스탐 브라나먼,제레미 섬터
34712,퍼펙트 내니,2020-04-23,1000,1000,1,1,1,1,프랑스,주식회사 세미콜론스튜디오,15세이상관람가,스릴러,루시 보리튜,"카린 비아르,레일라 벡티"
2229,"쓰나미, 벚꽃 그리고 희망",,408500,408500,87,87,1,2,영국,,,다큐멘터리,루시 워커,
