,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
11163,고야의 유령,2008-04-03,54000,30755000,7,4591,1,1,스페인,(주)부귀영화,15세이상관람가,드라마,밀로스 포만,"하비에르 바르뎀,나탈리 포트만,스텔란 스카스가드"
11164,아마데우스 감독판,2015-10-29,223000,120629300,101,15018,1,2,미국,시네마 뉴원,12세이상관람가,드라마,밀로스 포만,"톰 헐스,F. 머레이 아브라함"
11165,티스,2009-01-15,8000,2362000,2,368,1,2,미국,(유)마스엔터테인먼트코리아,청소년관람불가,코미디,밋첼 릭텐스타인,"제스 웨이슬러,존 헨슬리,조쉬 파이스"
11166,배틀 드론,2019-01-03,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,액션,밋치 굴드,"도미니크 스웨인,나타샤 맬스,루이스 맨다일러,마이클 파레"
11167,숭고한 나치,,244000,244000,63,63,1,4,오스트리아,,,다큐멘터리,바네사 라파,
11168,엔젤페이스,2019-03-14,10256400,10256400,1336,1336,20,199,프랑스,(주)트리플픽쳐스,15세이상관람가,드라마,바네사 필류,마리옹 꼬띠아르
11169,다섯 마리 코끼리와 할머니,,130500,130500,34,34,1,5,스위스,,,다큐멘터리,바딤 옌드레이코,스베트라나 게이어
11170,후 엠 아이,,2788000,2788000,398,398,1,6,독일,D.seeD,,스릴러,바란 보 오다르,"톰 쉴링,엘리아스 므바렉,보탄 빌케 모링"
11171,슬립리스: 크리미널 나이트,2017-03-08,146025800,146025800,18740,18740,158,2787,미국,(주)미디어로그,15세이상관람가,액션,바란 보 오다르,"제이미 폭스,미셸 모나한,데이빗 하버,더못 멀로니,가브리엘 유니온,스쿳 맥네이리,티.아이.,살라 베이커,스티브 콜터,릭 레잇츠"
11172,최후의 전투: 중동 전쟁,2019-07-19,270000,270000,54,54,1,1,이란,,[국내] 15세 관람가,액션,바람 타바콜리,
11173,찰스 디킨스의 비밀 서재,2018-01-11,60577600,60577600,7909,7909,103,904,아일랜드,(주)이수C&E,전체관람가,드라마,바랫 낼러리,"댄 스티븐스,크리스토퍼 플러머,조나단 프라이스"
11174,스푹스:MI5,2016-03-17,316642549,316642549,41416,41416,341,6090,영국,(주)영화사 빅,15세이상관람가,액션,바랫 낼러리,"킷 해링턴,피터 퍼스"
11175,미스 페티그루의 어느 특별한 하루,2008-10-02,0,417348000,0,71559,1,4,영국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,멜로/로맨스,바랫 낼러리,"에이미 아담스,프란시스 맥도먼드"
11176,데이식스,2015-05-28,5000,5000,1,1,1,1,이탈리아,(주)티에스앤컴퍼니,15세이상관람가,스릴러,바로 벤투리,마시모 포지오
11177,그 남자는 어떻게 사라졌나,,208500,208500,80,80,1,2,폴란드,,,다큐멘터리,"바르텍 코노프카,피오트르 로소워브스키",
11178,애니 레보비츠: 렌즈를 통해 들여다본 삶,2009-06-11,2953160,48301660,370,6933,9,105,미국,"하준사,(주)스폰지이엔티",15세이상관람가,다큐멘터리,바바라 레보비츠,"애니 레보비츠,믹 재거,키스 리차드,미하일 바리시니코프,힐러리 클린턴,티나 브라운,조지 클루니,커스틴 던스트,키이라 나이틀리,존 레논,오노 요코,우피 골드버그,베트 미들러,데미 무어,아놀드 슈왈제네거,패티 스미스,안나 윈투어,로버트 다우니 주니어"
11179,나부코,2017-04-01,72179000,72179000,3524,3524,10,187,미국,(주) 인스터 글로벌,전체관람가,공연,바바라 윌리스 스위츠,플라시도 도밍고
11180,유어 뷰티풀,2017-02-10,1113000,1113000,130,130,1,7,덴마크,,[국내] 12세 관람가,드라마,바바라 톱소-로첸버그,"클라라 로세이저,니콜라이 그로스,루카스 뢰켄"
11181,이지머니 2,2016-05-19,4900000,4900000,980,980,5,18,스웨덴,(주)소나무픽쳐스,청소년관람불가,액션,바박 나자피,"조엘 킨나만,파레스 파레스"
11182,런던 해즈 폴른,2016-03-10,730000,1614130683,99,731683,2,10,미국,메가박스중앙(주)플러스엠,15세이상관람가,액션,바박 나자피,"제라드 버틀러,아론 에크하트,모건 프리먼,안젤라 바셋"
11183,공포의 변호사,,324000,324000,60,60,1,3,프랑스,,,다큐멘터리,바벳 슈로더,"클라우스 바비,바벳 슈로더"
11184,사랑과 추억,1992-03-25,306000,306000,102,102,1,2,미국,,청소년 관람불가 ,드라마,바브라 스트라이샌드,"바브라 스트라이샌드,닉 놀테,블리드 대너"
11185,벤트: 마약의 도시,2019-07-12,6204000,6204000,1240,1240,50,50,미국,노바엔터테인먼트,15세이상관람가,범죄,바비 모레스코,"칼 어번,소피아 베르가라,앤디 가르시아"
11186,앱,2015-11-19,5000,5000,1,1,1,1,네덜란드,THE 픽쳐스,15세이상관람가,스릴러,바비 보어만스,"해나 혹스트라,이시스 카볼렛,로버트 데 후흐"
11187,클라우트로포비아: 폐소공포증,2014-12-09,100000,100000,10,10,1,1,네덜란드,(주)더블앤조이픽쳐스,청소년관람불가,공포(호러),바비 보어만스,캐롤리엔 스푸르
11188,덤 앤 더머 투,2014-11-27,1436861585,1436861585,192726,192726,343,8990,미국,씨네그루(주)다우기술,15세이상관람가,코미디,"바비 패럴리,피터 패럴리","짐 캐리,토미 스나이더,제프 다니엘스"
11189,이집트혁명 리포트,,356000,420000,89,121,1,5,이집트,,,다큐멘터리,바삼 모르타다,
11190,글로벌 비전 : 단편묶음,,17500,17500,4,4,1,2,기타,,,,"바슈티 해리슨,우디타 바르가바,마가렛 샐몬",
11191,이젠 다 알잖아요,,41732,41732,103,103,1,5,네덜란드,,,애니메이션,바스티안 스차벤딜,
11192,카고 컬트,,44160,44160,86,86,1,3,프랑스,,,,바스티앙 뒤부와,
11193,픽시,2018-08-23,139428100,139428100,19508,19508,268,1496,러시아,(주)팝엔터테인먼트,전체관람가,애니메이션,"바시코 베도슈빌리,이반 프숀킨,안드레이 콜핀","장은숙,장경희,이민하,이자옥,조예신,한경화,최원형,안종덕"
11194,더크 보가드의 희생자,,367000,367000,53,53,1,2,영국,,,,바실 디어든,
11195,갈대,,325000,1469000,65,530,1,2,영국,,,범죄,바실 디어든,"지나 롤로브리지다,숀 코네리,랠프 리처드슨"
11196,카쓰므,,1975000,4838000,985,2316,1,16,영국,,,,바실 디어든,
11197,빅트립: 아기팬더 배달 대모험,2019-10-23,330035500,330035500,42914,42914,373,2340,미국,(주)트리플픽쳐스,전체관람가,애니메이션,바실리 로벤스키,"한으뜸,장다운,이창민,서반석,박성영,김보나,고구인"
11198,22분: 아덴만 구출작전,2016-04-14,1132000,1132000,204,204,5,18,러시아,(주)소나무픽쳐스,청소년관람불가,액션,바실리 세리코프,마카르 자포로스키
11199,겨울이 왔어,,32355,32355,43,43,1,3,러시아,,,애니메이션,바실리 쉴리치코프,
11200,볼쇼이 스페셜 갈라,2014-02-27,1538000,27170000,150,2355,1,6,러시아,그린나래미디어(주),[국내] 전체 관람가,공연실황,바실리 시나이스키,"나탈리 드세이,드미트리 흐보로스토프스키,비올레타 우르마나"
11201,안개낀 밤의 데이트,,481000,481000,168,168,1,4,그리스,,,드라마,바실리스 게오르기,"제니 카레지,기오르고스 파운더스,디미트리스 파파마이클"
11202,열여섯의 봄,2019-11-07,9949980,9949980,1237,1237,15,139,중국,(주)디스테이션,12세이상관람가,드라마,바이 슈에,"황야오,순양"
11203,우주전쟁,,364000,364000,182,182,1,6,미국,,,SF,바이런 해스킨,"진 베리,앤 로빈슨,레스 트레마인"
11204,주토피아,2016-02-17,-1558647922,-1558647922,4706158,4706158,735,131005,미국,월트디즈니컴퍼니코리아(주),전체관람가,애니메이션,"바이론 하워드,리치 무어","지니퍼 굿윈,제이슨 베이트먼,샤키라"
11205,우리친구 피들스틱스,2016-10-13,9246500,9246500,1294,1294,18,152,독일,(주)마노엔터테인먼트,전체관람가,가족,바이트 헬머,"벤노 퓨어만,프리치 하벌란트"
11206,브라 이야기,2020-01-16,10796440,10796440,1353,1353,12,153,독일,알토미디어(주),12세이상관람가,드라마,바이트 헬머,"파즈 베가,드니 라방,마이아 모겐스턴,슐판 하마토바,미키 마뇰로비치"
11207,로미오와 줄리엣,1996-12-28,55037000,144453400,6982,20292,57,554,미국,"이십세기폭스코리아(주),(주)프레인글로벌",고등학생이상관람가,멜로/로맨스,바즈 루어만,"레오나르도 디카프리오,클레어 데인즈"
11208,물랑루즈,2001-10-26,5134500,145992655,604,22602,2,20,미국,"(주)프레인글로벌,이십세기폭스필름코퍼레이션",15세관람가,멜로/로맨스,바즈 루어만,"이완 맥그리거,니콜 키드먼,존 레귀자모"
11209,오스트레일리아,2008-12-10,150000,-2117017592,50,999030,1,1,미국,이십세기폭스코리아(주),12세이상관람가,사극,바즈 루어만,"휴 잭맨,니콜 키드먼"
11210,위대한 개츠비,2013-05-16,3445000,1994840051,459,1445707,5,33,미국,워너브러더스 코리아(주),15세이상관람가,드라마,바즈 루어만,"레오나르도 디카프리오,캐리 뮬리건,토비 맥과이어"
11211,애프터 웨딩 인 뉴욕,2020-04-23,158204780,158204780,19417,19417,169,2748,영국,(주)영화사 진진,12세이상관람가,드라마,바트 프룬디치,"미쉘 윌리엄스,줄리안 무어,빌리 크루덥"
11212,호프만 이야기,2015-08-22,17796000,17796000,737,737,3,49,미국,(주) 인스터 글로벌,전체관람가,공연,바틀렛 셔,"이브 아벨,토마스 햄슨"
11213,오텔로,2016-03-05,30941500,30941500,1309,1309,6,101,미국,,,,바틀렛 셔,
11214,사랑의 묘약,2013-03-09,38419500,38419500,1503,1503,3,42,미국,(주) 인스터 글로벌,전체관람가,공연,바틀렛 쉐어,안나 네트렙코
11215,코뿔소의 계절,2014-01-16,845000,845000,133,133,5,33,이란,씨네그루(주)다우기술,청소년관람불가,드라마,바흐만 고바디,"모니카 벨루치,베로즈 보소기,벨심 빌긴,일마즈 에르도간"
11216,취한 말들을 위한 시간,2004-07-30,382000,6400500,40,1099,1,1,이란,㈜영화사 백두대간,전체관람가,드라마,바흐만 고바디,"로진 요우네시,아윱 아마디"
11217,파이프 안의 세 남자,,136250,136250,77,77,1,2,이란,,[국내] 12세 관람가,드라마,바히드 바킬리파,
11218,뱀파이어 클린업 디파트먼트,2018-06-09,430000,430000,104,104,1,7,홍콩,마노엔터테인먼트,[국내] 12세 관람가,액션,"박 윙 얀,신 항 치우","채한억,임명정,전소호"
11219,파도 여인 그리고 탱고,2017-05-16,5000,5000,1,1,1,1,한국,(주)에스와이미디어,청소년관람불가,멜로/로맨스,박갑종,"조상민,허지혜,백학기,허윤철"
11220,파도 여인 그리고 탱고 무삭제판,2018-01-12,5000,5000,1,1,1,1,한국,(주)에스와이미디어,청소년관람불가,멜로/로맨스,박갑종,"허지혜,조상민,백학기"
11221,은어 무삭제판,2016-02-26,100000,100000,10,10,1,1,한국,(주)에스와이미디어,청소년관람불가,드라마,박갑종,"홍예나,하나경"
11222,탱고,2016-11-28,100000,100000,10,10,1,1,한국,(주)에스와이미디어,청소년관람불가,멜로/로맨스,박갑종,"허지혜,백학기,조상민"
11223,은어,2011-09-29,15241000,15241000,1944,1944,1,50,한국,(주)갑종무비필름,15세이상관람가,멜로/로맨스,박갑종,"홍예나,이창주"
11224,박강아름 결혼하다,,655000,655000,90,90,1,3,한국,(주)영화사 진진,전체관람가,다큐멘터리,박강아름,"정성만,정보리강,슈슈"
11225,박강아름의 가장무도회,,171000,1006000,27,194,1,2,한국,,[국내] 전체 관람가,다큐멘터리,박강아름,
11226,적과의 동침,2011-04-27,1740340000,1740340000,243094,243094,391,14069,한국,(주)쇼박스,12세이상관람가,드라마,박건용,"김주혁,유해진,정려원,김명일,조민아,신성훈,유하준,이신성,가원,채빈,한명진,차지훈,윤석현,장성현,이학민,변희봉,신정근,김보연,최희진,한기중,김상호,오희준,최원영,한사명"
11227,킹콩을 들다,2009-07-01,0,261867908,0,1262858,1,2,한국,(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,박건용,"이범수,조안,김민영,송재희,박준규,박진희,박찬희,김범식,김기준,이범렬,이범석,최규영,유나리,박기영,이희경,장미성,전병관,임동찬,임동철,최영주,이주일,이창호,이인자,이종희,변희봉,신정근,기주봉,우현,최희서,박지은"
11228,군대,,391000,1215000,60,180,1,7,한국,,[국내] 12세 관람가,다큐멘터리,박경근,
