,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우,감독값
17299,믹의 지름길,1900-01-01,4000,932000,4,191,1,1,미국,0,등급없음,장르없음,켈리레인하르트,['0'],0
17300,더 탱크,2017-07-27,591000,591000,116,116,5,14,미국,(주)수키픽쳐스,15세이상관람가,스릴러,0,"['잭데이븐포트', '에릭킹', '마구에리트모로']",0
17301,애비게일의 저주,2020-08-10,1000,1000,1,1,1,1,미국,(주)영화사안다미로,15세이상관람가,드라마,0,"['첼시저키위츠', '오스틴콜라조']",0
17302,지랄발광 17세,2017-06-28,656251800,656251800,83258,83258,119,5393,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,코미디,0,"['헤일리스테인펠드', '우디해럴슨', '카이라세드윅']",0
17303,55개의 양말,1900-01-01,15343,15343,29,29,1,3,캐나다,0,등급없음,장르없음,0,['0'],0
17304,바니걸과 동거남,2017-10-19,24000,24000,4,4,1,1,일본,0,청소년관람불가,에로,0,['0'],0
17305,콜럼버스,2018-04-19,1836000,69339000,348,8465,3,8,미국,(주)영화사오원,12세이상관람가,드라마,0,"['존조', '헤일리루리차드슨', '파커포시']",0
17306,결혼 전:조금은 특별한 마사지,2020-10-04,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코고로킨다이치,['시노다아유미'],1
17307,유부녀들:대물사냥,2020-08-26,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,코고로킨다이치,['0'],0
17308,미래를 걷는 소녀,2009-09-17,45223500,45223500,6318,6318,22,759,일본,(주)영화사구안,전체관람가,판타지,0,"['카호', '사노카즈마']",0
17309,프롬 더 다크,2015-07-07,500000,500000,100,100,1,1,기타,오퍼스픽쳐스(유),청소년관람불가,공포,0,['니암앨가'],0
17310,더 이클립스,2013-06-05,9206000,9206000,1199,1199,3,105,기타,㈜영화사백두대간,15세이상관람가,드라마,0,"['시아란힌즈', '이븐야일리', '에이단퀸']",0
17311,자바히트: 살인면허,2014-12-18,250000,250000,50,50,1,1,미국,(주)소나무픽쳐스,청소년관람불가,액션,코너알린,"['켈란루츠', '미키루크']",0
17312,익스페트리어트,2019-10-01,300000,300000,60,60,1,1,미국,(주)엔씨미디어,15세이상관람가,스릴러,코너알린,['찰리웨버'],0
17313,보송보송 구름이,1900-01-01,20293,20293,91,91,1,2,기타,0,등급없음,애니메이션,0,['0'],0
17314,여우와 자전거,1900-01-01,47500,47500,19,19,1,2,기타,0,등급없음,장르없음,0,['0'],0
17315,뜨겁고 달콤한 밤,2011-07-13,6000,6000,3,3,1,1,일본,씨앤피미디어,청소년관람불가,에로,0,"['코마츠미유키', '타카히로카와구치']",0
17316,아내의 생생한 불륜남,2015-09-02,5000,5000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,멜로로맨스,0,['하야마레이코'],0
17317,더스크: 죽음을 부르는 소녀,2014-10-30,250000,250000,50,50,1,1,일본,주식회사루믹스미디어,청소년관람불가,공포,0,['토모다아야카'],0
17318,극장판 시티헌터: 신주쿠 프라이빗 아이즈,2020-06-18,14319000,14319000,2052,2052,64,424,일본,(주)팬엔터테인먼트,12세이상관람가,애니메이션,0,"['카미야아키라', '이쿠라카즈에', '겐다테쇼']",0
17319,런어웨이,1900-01-01,21960,21960,31,31,1,2,캐나다,0,등급없음,장르없음,코델바커,['0'],0
17320,고양이 돌아오다,1900-01-01,22022,22022,31,31,1,2,캐나다,0,등급없음,애니메이션,코델바커,['0'],0
17321,반전손님,1900-01-01,1000,1000,1,1,1,1,미국,주식회사레드아이스,12세이상관람가,스릴러,0,['클라렌스지라드주니어'],0
17322,슈가박스,2013-03-14,750000,750000,150,150,1,1,미국,(주)노이에스,청소년관람불가,범죄,0,"['제네비르앤더슨', '델라브라운', '닉엘드레지']",0
17323,하늘에서 음식이 내린다면 2,2013-11-21,1128245704,1128245704,800062,800062,545,16411,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,애니메이션,0,"['빌헤이더', '안나패리스', '닐패트릭해리스']",0
17324,배니싱 트윈,2017-06-01,3000,3000,1,1,1,1,캐나다,0,청소년관람불가,공포,0,"['앨래나르비에르쥬', '니나키리', '아담크리스티']",0
17325,리벤지,2020-05-06,40284300,40284300,4814,4814,143,1284,프랑스,(주)팝엔터테인먼트,청소년관람불가,액션,0,"['마틸다안나잉그리드루츠', '케빈얀센스']",0
17326,테니스와 바비큐,1900-01-01,28692,28692,54,54,1,3,프랑스,0,등급없음,애니메이션,0,['0'],0
17327,성녀 요한나,2006-02-17,150000,150000,26,26,1,12,기타,0,청소년관람불가,드라마,코르넬문드럭초,"['이스트반간터', '오르소냐토스']",0
17328,천국의 나날들,2007-02-23,147000,3391000,49,569,1,2,기타,(주)코랄픽쳐스,청소년관람불가,드라마,코르넬문드럭초,"['토마스폴가', '오르소냐토스']",26
17329,화이트 갓,2015-04-02,860500,20316700,126,2657,1,7,기타,(주)나이너스엔터테인먼트,15세이상관람가,드라마,코르넬문드럭초,"['조피아프소타', '산도르즈소테르']",0
17330,주피터스 문,2018-08-02,42661800,42661800,5302,5302,39,470,기타,(주)엣나인필름,15세이상관람가,SF,코르넬문드럭초,"['솜버예거', '메랍니니트쩨', '기오르기세르하미']",0
17331,그때 거기 있었습니까?,2008-01-03,0,11277000,0,1673,1,1,기타,(주)이모션픽처스,12세이상관람가,드라마,0,['마리시아안드레스쿠'],0
17332,방콕 크리미널,2018-02-08,21000,21000,13,13,5,13,기타,(유)조이앤컨텐츠그룹,15세이상관람가,스릴러,0,"['콜린에글스필드', '카타리나산디노모레노', '스튜어트타운센드']",0
17333,데몬 베이비,2015-05-14,200000,200000,40,40,1,1,미국,주식회사루믹스미디어,15세이상관람가,공포,0,"['카리나비렐', '데이빗웨이맨']",0
17334,할로윈 위치,1900-01-01,13295000,13295000,2659,2659,4,9,미국,제인앤유,15세이상관람가,공포,0,['제시카베델'],0
17335,빨간모자의 진실,2006-04-06,145000,5753533100,29,952793,1,4,미국,(주)쇼박스,전체관람가,애니메이션,0,"['앤해서웨이', '글렌클로즈', '임하룡']",0
17336,어네스토,1900-01-01,24000,24000,77,77,1,2,영국,0,등급없음,장르없음,0,['0'],0
17337,제니퍼 그래이슨 실종 사건,2018-06-27,1000,1000,1,1,1,1,미국,주식회사레드아이스,청소년관람불가,드라마,0,['제임스듀발'],0
17338,할로우-죽음의제물,1900-01-01,300000,300000,60,60,1,1,미국,0,15세이상관람가,공포,코린하디,['보자나노바코빅'],0
17339,더 넌,2018-09-19,187910203,187910203,1011580,1011580,824,32736,미국,워너브러더스코리아(주),15세이상관람가,공포,코린하디,"['타이사파미가', '데미안비쉬어', '보니아론스']",0
17340,게르하르트 리히터의 회화,1900-01-01,947500,947500,191,191,1,2,독일,0,등급없음,다큐멘터리,0,"['게르하르트리히터', '노버트안즈', '허버트벡커']",0
17341,욕정의 며느리,2019-07-04,1000,1000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,코마고메추,['0'],0
17342,욕정의 며느리 무삭제판,2019-10-03,5000,5000,1,1,1,1,일본,(주)라온컴퍼니플러스,청소년관람불가,드라마,코마고메추,['사쿠라이아야'],1
17343,파리의 피아니스트: 후지코 헤밍의 시간들,1900-01-01,125000,125000,14,14,1,2,일본,0,등급없음,다큐멘터리,0,['0'],0
17344,G컵 새 엄마:달아오른 날,2019-04-24,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,코메이,['0'],1
17345,나쁜 섹스:좋아서 우는 형수,2020-04-15,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,코메이,['0'],1
17346,남자낚시-팬티로 낚는 유부녀,2019-09-06,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코메이,['오카자키에미리'],1
17347,내 아내의 성접대,2019-08-19,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,코메이,['0'],1
17348,바람난 가족:새엄마와 아들편,2019-10-16,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코메이,['사쿠라이아야'],1
17349,바람난 새엄마:밤이 외로워,2019-10-16,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코메이,['미즈노아사히'],1
17350,"새엄마-비밀,그리고 야한 짓",2019-09-03,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코메이,['카자마유미'],1
17351,새엄마-질펀한 하루,2019-10-24,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코메이,['미시마나츠코'],1
17352,새엄마:풍만한 가슴,2020-10-29,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,코메이,['0'],1
17353,야한 여자-커다란게 좋아,2019-09-10,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코메이,['하츠미사키'],1
17354,언니남친:속궁합이 궁금해,2020-03-26,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,코메이,['0'],1
17355,음란한 안드로이드,2020-12-30,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코메이,['사와무라레이코'],1
17356,잠든 남편 옆에서 은밀하게,2019-07-08,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,코메이,['0'],1
17357,젊은 새엄마:여자가 되는 날,2019-04-12,6000,6000,1,1,1,1,일본,0,등급없음,장르없음,코메이,['0'],1
17358,젊은 새엄마:터져버린 욕정,2019-09-19,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,코메이,['카와카미유우'],1
17359,젊은 새엄마의 유혹,2019-04-06,6000,6000,1,1,1,1,일본,0,등급없음,장르없음,코메이,['0'],0
17360,헤픈 새엄마:참을 수 없는 날,2019-09-26,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,코메이,['0'],1
17361,헤픈여자:오늘은 누구와 할까,2020-10-29,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,코메이,['0'],1
17362,화끈한 새엄마:뭐든지 해줄게,2020-03-18,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,코메이,['0'],1
17363,붓다 : 위대한 여정,2015-05-28,781000,781000,108,108,7,36,일본,0,전체관람가,애니메이션,0,"['요시나가사유리', '마츠야마켄이치', '마키요코']",0
