,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우,감독값
5404,하트 라디오 쇼,1900-01-01,428000,428000,90,90,1,2,기타,0,등급없음,코미디,로베르토아르티아고이샤,"['마누엘라마텔리', '다니엘무노즈']",0
5405,그라도 3 - 미친 섹시 코미디,1900-01-01,10000,10000,5,5,1,1,기타,0,청소년관람불가,코미디,로베르토아르티아고이샤,"['페르난도고도이', '프란시스코셀헤이', '마리아크리스티나페나일리우']",0
5406,세르쥬노박의 겨울여행,2006-11-30,26808500,26808500,4135,4135,28,620,프랑스,(주)미로비젼,청소년관람불가,드라마,0,"['다니엘오떼유', '그레타스카키']",0
5407,추상,1979-10-27,24000,344000,8,123,1,1,프랑스,0,등급없음,장르없음,0,['0'],0
5408,실베스트레 판텔레온,1900-01-01,20000,20000,4,4,1,2,기타,0,등급없음,다큐멘터리,0,['0'],0
5409,지크프리트,2012-04-04,16091500,16091500,569,569,2,21,미국,0,등급없음,장르없음,0,['0'],0
5410,칼리가리 박사의 밀실,1900-01-01,869000,869000,118,118,1,3,독일,0,12세이상관람가,공포,0,"['베르너크라우스', '콘라드베이트', '프리드리히페르']",0
5411,얀 팔라흐,1900-01-01,142000,142000,21,21,1,1,기타,0,등급없음,드라마,0,['주잔나비드조브스카'],0
5412,더 캡틴,2019-04-25,26337050,26337050,3525,3525,22,341,프랑스,(유)조이앤컨텐츠그룹,15세이상관람가,전쟁,로베르트슈벤트케,['맥스후바쳐'],103556
5413,R.I.P.D. : 알.아이.피.디.,2013-08-22,725451071,725451071,101460,101460,268,5744,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,액션,로베르트슈벤트케,"['라이언레이놀즈', '제프브리지스', '케빈베이컨']",482053
5414,다이버전트 시리즈: 얼리전트,2016-05-12,818897545,818897545,103556,103556,393,7611,미국,(주)키다리이엔티,12세이상관람가,액션,로베르트슈벤트케,"['쉐일린우들리', '테오제임스', '마일즈텔러']",192083
5415,인서전트,2015-03-25,2136247452,2136247452,282707,282707,480,18216,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,SF,로베르트슈벤트케,"['쉐일린우들리', '테오제임스', '케이트윈슬렛']",101460
5416,레드,2010-11-03,3550436000,3550436000,482053,482053,317,22481,미국,(주)화앤담이엔티,15세이상관람가,액션,로베르트슈벤트케,"['브루스윌리스', '모건프리먼', '존말코비치']",730934
5417,플라이트 플랜,2005-11-18,4347551500,4347551500,687833,687833,164,16183,미국,브에나비스타인터내셔널코리아,12세이상관람가,드라마,로베르트슈벤트케,['피터사스가드'],0
5418,시간 여행자의 아내,2009-10-28,17776500,1129873804,2281,730934,32,253,미국,(주)일레븐엔터테인먼트,12세이상관람가,멜로로맨스,로베르트슈벤트케,"['에릭바나', '레이첼맥아덤즈', '진윤']",0
5419,에브리타임 아이 다이,2020-10-21,41423970,41423970,5009,5009,140,1161,미국,(주)다자인소프트,15세이상관람가,미스터리,0,"['드류폰테이로', '마크멘차카', '미셀마세도']",0
5420,앨리스의 다락방,1900-01-01,1498,1498,7,7,1,1,미국,0,등급없음,장르없음,0,['0'],0
5421,이스턴 보이즈,1900-01-01,360000,626000,36,70,1,1,프랑스,0,15세이상관람가,드라마,로빈캄필로,"['올리비에라보르딘', '키릴에멜야노브', '대닐브로비요프']",0
5422,120 BPM,2018-03-15,706000,43264473,71,5163,1,2,프랑스,(주)엣나인필름,청소년관람불가,드라마,로빈캄필로,"['나우엘페레즈비스카야트', '아르노발로아', '아델에넬']",0
5423,성평등을 코딩하라!,1900-01-01,238000,238000,34,34,1,2,미국,0,전체관람가,다큐멘터리,0,['0'],0
5424,폴리스 비트,2006-09-08,2524000,2524000,375,375,1,93,미국,(주)이모션픽처스,청소년관람불가,드라마,0,"['파페S.니앙', '에릭브리드러브']",0
5425,귀다,1900-01-01,57250,57250,22,22,1,5,기타,0,전체관람가,장르없음,0,['프리실라카르보네'],0
5426,악마의 오후,2020-03-05,1000,1000,1,1,1,1,이탈리아,(주)컴퍼니엘,15세이상관람가,공포,0,"['피오나글라스콧', '피에트로라구사', '페데리코카스텔루치오']",0
5427,쇼콜라,2017-03-09,26217000,28443000,3480,3762,52,514,프랑스,판씨네마(주),12세이상관람가,드라마,0,"['오마사이', '제임스티에레', '클로틸드헤스메']",0
5428,비쎈,2020-02-20,300000,300000,60,60,1,1,중국,(주)제이에이와이이엔터테인먼트,15세이상관람가,드라마,로스W.클락슨,['줄리안게르트너'],1
5429,스티븐 시걸의 제네럴 커맨더,2019-09-26,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,범죄,로스W.클락슨,['스티븐시걸'],0
5430,매튜 본의 백조의 호수,2019-10-31,55609000,55609000,3388,3388,15,163,영국,메가박스중앙(주)플러스엠,12세이상관람가,공연,0,['0'],0
5431,포토그래픽 메모리,1900-01-01,79000,203000,16,47,1,2,미국,0,등급없음,다큐멘터리,0,"['로스맥켈위', '아드리안맥엘위']",0
5432,출동! 도토리 구조대,2019-03-28,86682260,86682260,11676,11676,260,995,미국,(주)디스테이션,전체관람가,애니메이션,0,"['제이슨존스', '윌포트', '존레귀자모']",0
5433,신 복수무정,2020-08-12,6000,6000,1,1,1,1,영국,0,15세이상관람가,액션,0,"['스튜베넷', '게리다니엘스']",0
5434,연인과 독재자,2016-09-22,15000,45036073,3,6768,1,1,영국,(주)엣나인필름,12세이상관람가,다큐멘터리,0,"['신상옥', '최은희']",0
5435,초이스,2018-11-08,20286100,20286100,2380,2380,62,426,미국,(주)박수엔터테인먼트,12세이상관람가,멜로로맨스,0,"['벤자민워커', '테레사팔머', '톰윌킨슨']",0
5436,볼크햄 힐스 여성 극단,1900-01-01,280900,280900,41,41,1,2,기타,0,등급없음,다큐멘터리,0,['0'],0
5437,홈 터프,1900-01-01,71250,71250,57,57,1,2,기타,0,등급없음,다큐멘터리,로스휘태커,['0'],0
5438,비트윈 랜드 앤 씨,2018-08-09,15671300,15671300,2025,2025,22,218,기타,0,전체관람가,다큐멘터리,로스휘태커,['0'],0
5439,피구의 제왕,2004-11-12,50122500,50122500,7901,7901,19,487,미국,이십세기폭스코아(주),12세이상관람가,코미디,로슨마샬터버,"['벤스틸러', '빈스본', '크리스틴테일러']",0
5440,스카이스크래퍼,2018-07-11,22177126,22177126,1002858,1002858,831,40862,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,액션,로슨마샬터버,"['드웨인존슨', '파블로쉬레이버', '니브캠벨']",0
5441,더 웨이브,2016-07-13,126516321,126516321,16108,16108,140,1712,기타,(주)팝엔터테인먼트,12세이상관람가,액션,로아우타우,"['크리스토퍼조너', '아네달토프', '조나스호프오프테브로']",0
5442,툼레이더,2018-03-08,205938466,205938466,540410,540410,806,31823,미국,워너브러더스코리아(주),12세이상관람가,액션,로아우타우,"['알리시아비칸데르', '크리스틴스콧토마스', '월튼고긴스']",16108
5443,인휴먼즈,2017-10-11,170000,170000,17,17,4,4,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,로엘르네,['앤슨마운트'],226
5444,제독 : 미힐 드 로이테르,2016-07-01,660000,660000,226,226,3,23,기타,(유)조이앤컨텐츠그룹,15세이상관람가,액션,로엘르네,"['찰스댄스', '룻거하우어']",0
5445,내가 잠들기 전에,2014-10-30,390872600,390872600,50098,50098,197,4259,영국,(주)영화사진진,청소년관람불가,미스터리,0,"['니콜키드먼', '콜린퍼스', '마크스트롱']",0
5446,수쥬,2001-02-03,1741000,1741000,303,303,1,2,독일,0,12세이상관람가,멜로로맨스,로우예,"['저우쉰', '자훙성', '내안']",0
5447,여름 궁전,2007-09-13,15000,37946000,3,5618,1,1,중국,(주)유레카픽쳐스,청소년관람불가,드라마,로우예,"['학뢰', '곽효동']",0
5448,울프캅,2016-01-07,5000,5000,1,1,1,1,캐나다,주식회사루믹스미디어,청소년관람불가,코미디,로웰딘,"['레오페펄드', '에이미마티시오', '사라린드']",54
5449,13 이어리,2015-01-21,270000,270000,54,54,1,1,캐나다,(주)엘케이픽쳐스,청소년관람불가,공포,로웰딘,"['캐서린이사벨', '마이클쉥크스', '브렌단페르']",0
5450,수퍼그리드,1900-01-01,300000,300000,60,60,1,1,캐나다,0,등급없음,장르없음,로웰딘,['0'],0
5451,죽음의 질주,2016-12-08,4000,4000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,청소년관람불가,액션,0,['바이올런트제이'],0
5452,5번가에서 생긴 일,1900-01-01,216000,216000,45,45,1,3,미국,0,등급없음,장르없음,0,"['진앤드렌', '돈드포', '앤하딩']",0
5453,로마여 안녕,1900-01-01,188000,188000,94,94,1,6,미국,0,등급없음,드라마,0,"['마리오란차', '리나토렛첼', '페기캐슬']",0
5454,태양을 향해 달려라,1900-01-01,594000,594000,297,297,1,23,미국,0,등급없음,장르없음,0,['0'],0
5455,돈 보더 투 노크,1900-01-01,818000,1278000,409,639,1,18,미국,0,15세이상관람가,드라마,0,"['리차드위드마크', '마릴린먼로', '앤밴크로프트']",0
5456,풋라이트 퍼레이드,1900-01-01,108500,108500,22,22,1,3,미국,0,등급없음,코미디,로이드베이컨,"['제임스카그니', '조안블론델', '루비킬러']",0
5457,후로그맨,1900-01-01,3372000,3372000,1686,1686,1,20,미국,0,등급없음,장르없음,로이드베이컨,['0'],0
5458,뮤지컬 42번가,1900-01-01,212000,5413000,106,2685,1,9,미국,0,등급없음,장르없음,로이드베이컨,['0'],0
5459,시티즌 톡시 : 톡식 어벤저 4,1900-01-01,450500,450500,66,66,1,5,미국,0,등급없음,액션,로이드카프만,"['데이빗매테이', '리사게이']",0
5460,엽기 영화 공장,1900-01-01,442500,442500,68,68,1,5,미국,0,등급없음,공포,로이드카프만,"['윌키넌', '로이드카프만']",0
5461,폴트리가이스트,2008-08-01,545500,545500,84,84,1,5,미국,0,등급없음,코미디,로이드카프만,['제이슨야차닌'],0
5462,데드맨 1부: 복수의 서막,1900-01-01,1000,1000,1,1,1,1,미국,(주)이놀미디어,15세이상관람가,액션,로이스톤이니스,"['릭매독스', '아론마르시니아크', '숀파슨스']",0
5463,데드맨 2부: 악마의 희생자,1900-01-01,1000,1000,1,1,1,1,미국,(주)이놀미디어,15세이상관람가,액션,로이스톤이니스,"['릭매독스', '아론마르시니아크', '숀파슨스']",0
5464,빅피시 스몰피시,1900-01-01,18000,18000,4,4,1,1,프랑스,0,등급없음,다큐멘터리,0,['0'],0
5465,데브라 윙거를 찾아서,2006-04-21,14071000,14071000,2138,2138,1,114,미국,(주)동숭아트센터,12세이상관람가,다큐멘터리,0,"['패트리시아아퀘트', '로잔나아퀘트']",0
5466,월 롸이터,1900-01-01,211000,211000,22,22,1,2,미국,0,등급없음,장르없음,0,['0'],0
5467,리틀 팀,1900-01-01,0,42614,0,60,1,2,스페인,0,등급없음,다큐멘터리,0,['0'],0
5468,트레버의 선택,1900-01-01,240000,240000,48,48,1,1,미국,0,등급없음,드라마,로저굿맨,"['브렌트고스키', '제이브래넌']",0
5469,사랑이든 뭐든간,1900-01-01,537000,537000,95,95,1,2,미국,0,등급없음,코미디,로저굿맨,"['타일러포엘', '제니퍼엘리즈콕스', '조엘러쉬']",0
5470,몬티 파이튼 - 코미디의 전설,1900-01-01,122500,122500,28,28,1,2,영국,0,등급없음,다큐멘터리,0,['0'],0
5471,노웨이 아웃,1988-11-17,221000,221000,73,73,1,3,미국,0,청소년관람불가,스릴러,로저도널드슨,"['케빈코스트너', '진핵크만', '숀영']",0
5472,겟어웨이 - 끝없는 도주,1994-05-07,236000,1658000,118,380,1,4,미국,0,청소년관람불가,드라마,로저도널드슨,"['알렉볼드윈', '킴베이싱어', '제임스우즈']",0
5473,저스티스,2012-03-15,329594500,329594500,44546,44546,142,4282,미국,(주)쇼박스,청소년관람불가,액션,로저도널드슨,"['니콜라스케이지', '가이피어스', '재뉴어리존스']",0
5474,노벰버 맨,2014-10-16,1891131320,1891131320,252444,252444,395,16197,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,로저도널드슨,"['피어스브로스넌', '올가쿠릴렌코', '루크브레이시']",44546
5475,뱅크 잡,2008-10-30,144000,692985796,26,557063,2,23,영국,(주)싸이더스,15세이상관람가,범죄,로저도널드슨,"['제이슨스타뎀', '세프론버로우스', '스티븐캠벨무어']",0
5476,인생을 애니메이션처럼,2017-09-27,26069300,26069300,3505,3505,49,420,미국,판씨네마(주),전체관람가,다큐멘터리,0,"['오웬서스킨드', '론서스킨드', '길버트갓프리드']",0
5477,에델과 어니스트,2018-05-10,4255000,88302700,851,11031,9,13,영국,(주)영화사진진,12세이상관람가,애니메이션,0,"['짐브로드벤트', '브렌다블레신']",0
5478,여배우들의 티타임,2019-10-10,17212160,17212160,2138,2138,22,316,영국,(주)영화사오원,12세이상관람가,다큐멘터리,로저미첼,"['주디덴치', '매기스미스', '에일린앳킨스']",0
5479,마더,2005-06-24,15888800,15888800,2382,2382,1,179,영국,(주)동숭아트센터,청소년관람불가,드라마,로저미첼,"['앤레이드', '다니엘크레이그']",0
5480,위크엔드 인 파리,2014-05-01,818500,266384900,104,34227,1,5,영국,판씨네마(주),15세이상관람가,드라마,로저미첼,"['짐브로드벤트', '린제이던컨']",0
5481,노팅 힐,1999-07-03,534940082,535225082,65403,65506,183,6329,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,멜로로맨스,로저미첼,"['줄리아로버츠', '휴그랜트']",0
5482,굿모닝 에브리원,2011-03-17,808000,1563223000,202,202869,1,1,미국,CJENM,15세이상관람가,드라마,로저미첼,"['레이첼맥아덤즈', '해리슨포드', '다이안키튼']",0
5483,엄마는 해결사,1992-05-30,134000,134000,67,67,1,2,미국,0,15세이상관람가,액션,로저스포티스우드,"['실베스터스탤론', '에스텔리게티', '조베스윌리암스']",0
5484,"내 어깨 위 고양이, 밥",2017-01-04,236000,213893900,37,26963,1,1,영국,(주)누리픽쳐스,12세이상관람가,드라마,로저스포티스우드,"['루크트레더웨이', '루타게드민타스', '조앤프로갯']",0
5485,황시,2008-09-18,820373000,820373000,131867,131867,216,9478,기타,CJENM,12세이상관람가,전쟁,로저스포티스우드,"['조나단리스마이어스', '주윤발', '양자경']",0
5486,칼릴 지브란의 예언자,2015-09-10,65796100,65796100,8631,8631,44,563,미국,판씨네마(주),전체관람가,애니메이션,로저알러스,"['리암니슨', '셀마헤이엑', '존크래신스키']",0
5487,부그와 엘리엇(애니),2007-01-04,1684942000,1697112000,297453,299171,187,8452,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,애니메이션,로저알러스,"['마틴로렌스', '애쉬튼커처']",0
5488,라이온 킹,1994-07-02,24460500,1091980796,2925,301296,6,54,미국,0,전체관람가,애니메이션,로저알러스,"['매튜브로데릭', '모이라켈리', '조나단테일러토마스']",0
5489,뒤로가는 연인들,2007-10-25,12347500,12347500,1765,1765,1,69,미국,㈜영화사백두대간,청소년관람불가,멜로로맨스,0,"['제임스반데빅', '샤닌소사몬']",0
5490,에너미라인,2014-12-11,14000,14000,2,2,1,1,미국,(유)조이앤컨텐츠그룹,청소년관람불가,액션,0,"['톰셀릭', '제인세이모어']",0
5491,애프터: 그 후,2020-10-07,308484040,308484040,37354,37354,420,6161,미국,판씨네마(주),15세이상관람가,멜로로맨스,로저컴블,"['히어로파인즈티핀', '조세핀랭포드', '딜런스프라우즈']",0
5492,저스트 프렌드,2006-12-07,2855000,1444893000,377,236759,1,3,미국,㈜스튜디오이쩜영,15세이상관람가,코미디,로저컴블,"['라이언레이놀즈', '에이미스마트']",0
5493,X-레이맨,1900-01-01,642000,642000,115,115,1,3,미국,0,등급없음,장르없음,로저코만,['0'],0
5494,어셔가의 몰락,1900-01-01,645000,1488000,318,471,1,8,미국,0,등급없음,드라마,로저코만,"['빈센트프라이스', '마크데이먼', '마이나파헤이']",0
5495,저승과 진자,1900-01-01,1616000,2380000,808,946,1,24,미국,0,등급없음,장르없음,로저코만,['0'],0
5496,다크 스페이스,2013-10-10,5576000,5576000,1113,1113,5,19,캐나다,(주)미디어데이,15세이상관람가,SF,로저크리스찬,"['크리스찬슬레이터', '에이미마티시오']",0
5497,미이라 : 피라미드의 비밀,2014-07-31,8666000,8666000,2797,2797,20,36,미국,(주)소나무픽쳐스,15세이상관람가,액션,로저크리스찬,['존라이스데이비스'],1113
5498,그리고 신은 여자를 창조했다,1989-02-04,1998000,1998000,999,999,1,26,프랑스,0,청소년관람불가,드라마,0,"['브리지트바르도', '커드저진스', '장-루이트린티냥']",0
5499,페미니스트를 주목하라!,1900-01-01,0,67000,0,15,1,1,캐나다,0,등급없음,다큐멘터리,0,['0'],0
5500,라운드 업,2013-05-16,2383000,2383000,358,358,5,46,프랑스,(주)팝엔터테인먼트,15세이상관람가,드라마,로젤린보쉬,"['장르노', '멜라니로랑']",0
5501,러브 인 프로방스,2015-10-08,959000,44309600,226,6170,1,11,프랑스,주식회사쇼미미디어앤트레이딩,15세이상관람가,드라마,로젤린보쉬,"['장르노', '안나갈리에나']",358
5502,잠자는 소녀,2017-10-12,113000,113000,24,24,1,1,기타,제인앤유,15세이상관람가,판타지,0,"['이몬파렌', '비터니휘트모어', '틸다코브햄-하비']",0
5503,비바리움,2020-07-16,195312120,195312120,23756,23756,129,2235,미국,(유)조이앤컨텐츠그룹,15세이상관람가,미스터리,0,"['제시아이젠버그', '이모겐푸츠']",0
5504,좀비 대 에일리언,2017-05-13,3000,3000,1,1,1,1,미국,0,15세이상관람가,SF,0,['0'],0
5505,플라이보이스,2013-11-02,16000,16000,3,3,1,2,미국,(주)액티버스엔터테인먼트,12세이상관람가,드라마,0,"['제시제임스', '레일리맥클렌던']",0
5506,이탈리아 횡단밴드,2012-09-20,211500,43822800,33,5983,1,4,이탈리아,오드,15세이상관람가,코미디,0,"['알레산드로가스만', '파올로브리구그리아', '로코파팔레오']",0
5507,기적을 그리다,1900-01-01,76000,76000,19,19,1,1,기타,0,등급없음,다큐멘터리,0,['0'],0
5508,그랑지 호텔,1900-01-01,140000,140000,34,34,1,2,기타,0,등급없음,장르없음,0,['0'],0
5509,엑스터시 다이어리,2019-06-27,300000,300000,60,60,1,1,독일,찬란,청소년관람불가,드라마,0,['로프피터칼'],0
5510,후계자들,2020-04-23,41000,41000,30,30,5,30,미국,(주)아이아스플러스,15세이상관람가,액션,0,['브렌든프레이저'],0
5511,해적 소굴 잠입기,1900-01-01,185000,185000,43,43,1,2,캐나다,0,등급없음,장르없음,0,['0'],0
5512,기적의 소년,1900-01-01,49000,49000,7,7,1,2,미국,0,전체관람가,드라마,0,"['토퍼그레이스', '크리시메츠', '조쉬루카스']",0
5513,논스톱 플라이트,2018-10-30,1000,1000,1,1,1,1,미국,0,15세이상관람가,액션,0,['0'],0
5514,초급 이태리어 강습,1900-01-01,922000,922000,175,175,1,3,기타,0,등급없음,장르없음,론쉐르픽,['0'],0
5515,언 애듀케이션,2010-03-18,21023500,21023500,2750,2750,3,243,영국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,드라마,론쉐르픽,"['캐리뮬리건', '피터사스가드', '알프리드몰리나']",0
5516,라이엇 클럽,2015-10-22,37266300,37266300,4662,4662,53,640,영국,(주)영화사진진,청소년관람불가,드라마,론쉐르픽,"['샘클라플린', '맥스아이언스', '더글라스부스']",227093
5517,원 데이,2012-12-13,186799300,1690532800,22702,227093,156,3831,미국,(주)영화사그램,15세이상관람가,드라마,론쉐르픽,"['앤해서웨이', '짐스터게스']",2750
5518,호미사이드,2003-12-12,13968000,13968000,2067,2067,2,53,미국,콜럼비아트라이스타,15세이상관람가,액션,0,"['해리슨포드', '조쉬하트넷']",0
5519,프레셔,2015-12-06,10000,10000,1,1,1,1,영국,(주)더블앤조이픽쳐스,청소년관람불가,공포,론스캘펠로,"['대니휴스턴', '매튜구드', '조콜']",1650
5520,어펜더: 범죄와의 전쟁,2013-04-26,3495000,3495000,1650,1650,1,9,영국,(주)소나무픽쳐스,청소년관람불가,스릴러,론스캘펠로,"['조콜', '잉글리시프랭크', '킴벌리닉슨']",0
5521,와일드 시티,2020-06-17,35310180,35310180,4168,4168,111,935,영국,와이드릴리즈(주),청소년관람불가,액션,론스캘펠로,"['샘클라플린', '티모시스폴', '노엘클락']",0
5522,스텝업6: 이어 오브 더 댄스,1900-01-01,5000,5000,1,1,1,1,미국,㈜코리아스크린,15세이상관람가,멜로로맨스,0,"['제이드치노웨스', '제이넬기네스트라', '멍메이치']",0
5523,피우마,1900-01-01,86000,86000,15,15,1,2,이탈리아,0,등급없음,드라마,0,"['블루요시미', '미켈라세스콘', '세르지오피에라티니']",0
5524,데드 앤트 - 거대개미의 습격,2020-08-13,100000,100000,20,20,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,액션,0,"['톰아놀드', '숀애스틴']",0
5525,"그해, 트랜지션",1900-01-01,342000,342000,49,49,1,3,미국,0,등급없음,다큐멘터리,0,['0'],0
5526,모아나,2017-01-12,5666500,882214623,813,2311019,4,29,미국,월트디즈니컴퍼니코리아유한책임회사,전체관람가,애니메이션,0,"['드웨인존슨', '아우이크라발호', '알란터딕']",0
5527,아폴로 13,1995-08-05,10000,10000,5,5,1,1,미국,0,12세이상관람가,드라마,론하워드,"['톰행크스', '케빈베이컨', '빌팩스톤']",0
5528,분노의 역류,1991-08-03,54000,54000,18,18,1,1,미국,0,15세이상관람가,드라마,론하워드,"['커트러셀', '윌리암볼드윈', '로버트드니로']",0
5529,파 앤드 어웨이,1992-08-01,288000,288000,102,102,1,5,미국,0,청소년관람불가,드라마,론하워드,"['톰크루즈', '니콜키드먼', '토마스깁슨']",18
5530,실종,2004-02-27,5252000,5252000,856,856,4,65,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,스릴러,론하워드,"['토미리존스', '에릭슈웨이그', '발킬머']",0
5531,힐빌리의 노래,2020-11-11,30682780,30682780,3646,3646,84,752,미국,메가박스중앙(주)플러스엠,청소년관람불가,드라마,론하워드,"['에이미아담스', '글렌클로즈', '가브리엘바쏘']",130848
5532,비틀스: 에잇 데이즈 어 위크 – 투어링 이어즈,2016-10-19,784000,146317653,86,18253,1,1,영국,메가박스중앙(주)플러스엠,12세이상관람가,드라마,론하워드,"['존레논', '폴매카트니', '조지해리슨']",2757992
5533,프로스트 VS 닉슨,2009-03-05,0,148227500,0,22114,1,2,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,드라마,론하워드,"['프랭크란젤라', '마이클쉰']",1888252
5534,파바로티,2020-01-01,379623658,379623658,47717,47717,85,2042,영국,오드,12세이상관람가,다큐멘터리,론하워드,['루치아노파바로티'],213980
5535,러시 : 더 라이벌,2013-10-09,344000,932342000,43,127037,1,1,미국,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,액션,론하워드,"['크리스헴스워스', '다니엘브륄']",1016267
5536,한 솔로: 스타워즈 스토리,2018-05-24,1964276778,1964276778,213980,213980,569,14818,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,론하워드,"['엘든이렌리치', '에밀리아클라크', '폴베타니']",1555827
5537,신데렐라맨,2005-09-15,2561822500,2561822500,405215,405215,145,9476,미국,브에나비스타인터내셔널코리아,전체관람가,드라마,론하워드,"['르네젤위거', '러셀크로우']",856
5538,인페르노,2016-10-19,1361314007,1361314007,689071,689071,754,31809,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,미스터리,론하워드,"['톰행크스', '펠리시티존스', '벤포스터']",2757992
5539,하트 오브 더 씨,2015-12-03,1809090569,1809090569,809827,809827,535,29221,미국,워너브러더스코리아(주),12세이상관람가,액션,론하워드,"['크리스헴스워스', '킬리언머피', '벤위쇼']",127037
5540,천사와 악마,2009-05-14,12541341000,12541341000,1906687,1906687,543,47459,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,미스터리,론하워드,"['톰행크스', '이완맥그리거']",1266206
5541,다빈치 코드,2006-05-18,18873057800,18873057800,3022936,3022936,514,42856,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,미스터리,론하워드,"['톰행크스', '오드리토투']",203035
5542,패니의 여행,1900-01-01,2980000,2980000,458,458,1,4,기타,0,등급없음,드라마,롤라드와이옹,"['레오니수쇼', '세실드프랑스', '스테판드그루드']",0
5543,저스트 어바웃 러브,2008-06-19,3581000,3581000,569,569,1,85,프랑스,(주)스폰지이엔티,청소년관람불가,드라마,롤라드와이옹,"['루시데스클로조', '크리스타테렛', '가엘타바레스']",0
5544,더 러버스,2018-02-13,6000,6000,1,1,1,1,기타,(주)누리픽쳐스,15세이상관람가,액션,롤랑조페,"['조쉬하트넷', '탐신에거튼', '앨리스앤글레르트']",0
5545,시티 오브 조이,1993-07-03,104000,104000,52,52,1,2,영국,0,12세이상관람가,드라마,롤랑조페,"['패트릭스웨이지', '폴린콜린스', '옴푸리']",0
5546,킬링필드,1985-06-01,162000,162000,54,54,1,2,영국,0,15세이상관람가,전쟁,롤랑조페,"['샘워터스톤', '행S.응고르', '존말코비치']",0
5547,호세마리아 신부의 길,2013-11-28,90000,14169000,45,2347,1,2,미국,(유)영화사화수분,15세이상관람가,드라마,롤랑조페,"['찰리콕스', '웨스벤틀리', '더그레이스콧']",0
5548,미션,1986-12-24,35693500,171064748,5868,42030,25,431,영국,주식회사더쿱,12세이상관람가,드라마,롤랑조페,"['로버트드니로', '제레미아이언스', '에이단퀸']",54
5549,4.4.4,2007-06-20,1403985500,1403985500,208645,208645,142,11949,미국,(주)쇼박스,청소년관람불가,범죄,롤랑조페,"['엘리샤커스버트', '다니엘길리스']",0
5550,몬테크리스토 백작,1900-01-01,302000,8556000,151,4341,1,14,미국,0,등급없음,모험,0,"['로버트도냇', '엘리사랜디', '루이스칼헌']",0
5551,패트리어트-늪속의 여우,2000-07-21,60000,60000,20,20,1,1,미국,0,15세이상관람가,드라마,롤랜드에머리히,"['멜깁슨', '히스레저', '조엘리리차드슨']",0
5552,스톤월,1900-01-01,430000,430000,43,43,1,1,미국,(주)액티버스엔터테인먼트,등급없음,드라마,롤랜드에머리히,"['제레미어바인', '조니뷰챔프', '조이킹']",0
5553,화이트 하우스 다운,2013-06-27,279259796,279259796,569500,569500,480,19850,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,액션,롤랜드에머리히,"['채닝테이텀', '제이미폭스', '매기질렌할']",0
5554,미드웨이,2019-12-31,361112062,361112062,958209,958209,842,35494,미국,(주)누리픽쳐스,15세이상관람가,액션,롤랜드에머리히,"['에드스크레인', '패트릭윌슨', '우디해럴슨']",0
5555,"10,000 BC",2008-03-13,7443923500,7443923500,1134364,1134364,362,38983,미국,워너브러더스코리아(주),15세이상관람가,어드벤처,롤랜드에머리히,"['스티븐스트레이트', '카밀라벨']",0
5556,인디펜던스 데이 : 리써전스,2016-06-22,114022048,114022048,1500830,1500830,926,47432,미국,이십세기폭스코리아(주),12세이상관람가,액션,롤랜드에머리히,"['빌풀만', '리암헴스워스', '제프골드블럼']",569500
5557,투모로우,2004-06-03,11658584500,11658584500,1830767,1830767,164,22881,미국,이십세기폭스코아(주),12세이상관람가,SF,롤랜드에머리히,"['데니스퀘이드', '제이크질렌할', '이안홈']",0
5558,2012,2009-11-12,7898000,287017336,707,5397597,20,190,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,SF,롤랜드에머리히,"['존쿠삭', '아만다피트', '올리버플랫']",1134364
5559,블루프린트,2007-03-29,1537500,1537500,289,289,1,59,독일,㈜씨네콰논코리아,15세이상관람가,드라마,롤프슈벨,"['율리히톰센', '힐미르스네어구오나손', '프란카포텐테']",0
