영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,감독값,배급사값,배우합,배우평균
남편에게 들킨 불륜 - 연하남,2020-04-03,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
남편을 배신한 육체미망인,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
노브라 가정교사 - I컵의 사랑,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
대학생 기숙사 밤당번녀-G컵,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
미니멈 걸과 터지는 사랑,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
불륜 중독 - 당신없인 못살아,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
불륜에 뺏긴 아내 - 몸정,2020-04-03,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
사장에게 봉사하는 미인비서,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
야한 치어리더는 옆집유부녀,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
엄청 야릇한 옆집 거유녀,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
온천여관 여주인의 서비스,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
음란아내 미망인-조교된 여자,2020-04-03,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
인형같은 노조미짱-전력봉사,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
장모와 아내사이에서,2020-04-03,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
전여친이 상사의 아내라니,2020-04-03,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
초거유 히나타짱 - 기억소실,2020-04-03,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
츠쿠시의 신혼 - 전남친이 그리워,2020-04-03,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
치한을 부르는 여자-만원버스,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
패션모델 여상사의 갑질,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
폭유도발클럽 - 제복편,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
풍만 형수의 노예계약 - 음모론,2020-05-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
미즈노의 가터벨트,2020-07-03,100000,100000,20,20,1,1,일본,0,청소년관람불가,에로,다나카켄타로,1,0,0,0
아내가 늦은 날 - 장모님,2020-07-03,100000,100000,20,20,1,1,일본,0,청소년관람불가,에로,다나카켄타로,1,0,0,0
아이미의 핫한 새엄마,2020-07-03,100000,100000,20,20,1,1,일본,0,청소년관람불가,에로,다나카켄타로,1,0,0,0
첫키스부터 XX까지 엄마친구,2020-12-04,100000,100000,20,20,1,1,일본,0,청소년관람불가,에로,다나카켄타로,3,0,0,0
음란착각 에미리짱- 성감첵크,2020-06-05,100000,100000,20,20,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,다나카켄타로,1,1,0,0
레트리뷰션 : 응징의 날,2016-03-30,13781500,13781500,2092,2092,32,323,스페인,노바엔터테인먼트,15세이상관람가,스릴러,0,0,1925,121,40
바르셀로나 크리스마스 나잇,1900-01-01,207000,207000,20,20,1,1,스페인,(주)싸이더스,15세이상관람가,멜로로맨스,0,0,0,0,0
어느 남편의 부인 살리기,1900-01-01,102000,102000,17,17,1,2,기타,0,등급없음,드라마,다니스타노비치,0,0,0,0
랑페르,2006-12-14,27635000,27635000,3985,3985,1,71,프랑스,㈜영화사백두대간,15세이상관람가,드라마,다니스타노비치,10061,6979,0,0
앤드 오브 워,2013-11-07,8360000,8360000,5030,5030,5,38,기타,스크린조이,15세이상관람가,미스터리,다니스타노비치,0,1878,1581791,790895
노 맨스 랜드,2004-12-03,375000,67760000,53,10061,1,4,프랑스,㈜영화사백두대간,전체관람가,드라마,다니스타노비치,0,7793,0,0
"신이시여, 소샤나는 그렇게 천국에 갔답니다",1900-01-01,9555,9555,21,21,1,3,기타,0,15세이상관람가,애니메이션,0,0,0,0,0
그의 시선,1900-01-01,752000,752000,103,103,1,6,기타,0,전체관람가,드라마,0,0,0,0,0
기묘한 이야기들2,2018-07-30,1000,1000,1,1,1,1,미국,주식회사레드아이스,12세이상관람가,공포,다니엘B.이스크,1,8,0,0
필드오브데드,2016-02-04,5000,5000,1,1,1,1,미국,주식회사루믹스미디어,청소년관람불가,공포,다니엘B.이스크,0,31,0,0
9.79초,1900-01-01,230000,230000,90,90,1,2,영국,0,등급없음,다큐멘터리,다니엘고든,0,0,0,0
천리마 축구단,2005-08-26,0,12323900,0,1902,8,14,영국,(주)동숭아트센터,전체관람가,다큐멘터리,다니엘고든,0,3579,0,0
페르시안 커넥션,2018-08-28,6000,6000,1,1,1,1,미국,노바엔터테인먼트,청소년관람불가,액션,0,0,527,0,0
세븐데이즈,2013-01-31,4662000,4662000,666,666,5,13,캐나다,(주)미디어데이,청소년관람불가,스릴러,0,0,117700,0,0
프리버즈: 밍쿠와 찌아의 도시 대탈출,2013-09-17,289408500,289408500,44650,44650,213,2132,기타,(주)영화사빅,전체관람가,애니메이션,0,0,29215,0,0
알레나,1900-01-01,6000,6000,1,1,1,1,기타,(주)컴퍼니엘,청소년관람불가,공포,0,0,0,0,0
임페리엄,2017-02-23,202000,202000,70,70,6,70,미국,THE픽쳐스,청소년관람불가,범죄,0,0,7373,987328,329109
스톰 둠스데이,2014-10-01,5374000,5374000,1237,1237,20,34,미국,(유)조이앤컨텐츠그룹,12세이상관람가,액션,0,0,1575,5070,2535
인 더 더스트,2019-10-04,50000,50000,50,50,1,1,프랑스,주식회사씨네룩스,12세이상관람가,SF,0,0,5959,15670,7835
언케이지드,2016-07-28,8000,8000,1,1,1,1,미국,(주)나우콘텐츠,청소년관람불가,공포,0,0,68,0,0
로비 로버트슨과 더 밴드의 신화,1900-01-01,30000,30000,6,6,1,2,캐나다,0,등급없음,다큐멘터리,0,0,0,0,0
감옥과 천국,1900-01-01,150000,150000,30,30,1,2,기타,0,등급없음,장르없음,0,0,0,0,0
디아블로: 분노의 질주,2019-11-13,3396000,3396000,718,718,20,50,기타,주식회사디에스이이디,15세이상관람가,액션,0,0,3010,0,0
사랑하는 시바여 돌아오라,1957-01-19,606000,3267000,303,1396,1,21,미국,0,등급없음,장르없음,다니엘만,0,0,0,0
추억의 장미,1900-01-01,34000,5529000,17,2470,1,1,미국,0,등급없음,장르없음,다니엘만,0,0,0,0
버터필드 8,1900-01-01,2330000,10158000,1165,4715,1,24,미국,0,등급없음,드라마,다니엘만,0,0,0,0
셀 211,2011-11-17,119000,274000,19,59,1,1,기타,(주)소나무픽쳐스,청소년관람불가,액션,0,0,381,0,0
비마나 미스터리,2017-07-27,6000,6000,1,1,1,1,기타,(유)영화사화수분,15세이상관람가,SF,다니엘미릭,0,227,0,0
썸머 솔스티스,2008-08-28,460892000,460892000,70098,70098,131,5857,미국,㈜케이디미디어,15세이상관람가,공포,다니엘미릭,0,113298,0,0
레퀴엠,2013-10-19,13556500,13556500,576,576,6,74,독일,(주)케빈앤컴퍼니,전체관람가,공연,다니엘바렌보임,0,3038,0,0
일 트로바토레,2014-09-20,16593000,16593000,1053,1053,6,79,독일,(주)쓰리캣프로덕션,전체관람가,공연,다니엘바렌보임,576,1878,1148,574
비스틀리,2011-03-17,1008669500,1008669500,134025,134025,214,10377,미국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,0,0,691949,477244,159081
엣지 오브 더 월드,2020-09-01,90000,90000,45,45,1,1,독일,(주)더그레이트컴퍼니,12세이상관람가,드라마,0,0,1,0,0
얼티밋 배틀,1900-01-01,1000,1000,1,1,1,1,캐나다,0,등급없음,장르없음,0,0,0,0,0
페인트볼,2014-03-06,1160000,1160000,372,372,5,24,스페인,스크린조이,청소년관람불가,드라마,다니엘벤마요,0,1856,0,0
트레이서,2015-03-19,18000,197304000,2,26264,1,1,미국,(주)영화사오원,15세이상관람가,액션,다니엘벤마요,372,16932,2654817,1327408
코끼리의 무게,1900-01-01,18000,18000,4,4,1,2,기타,0,등급없음,장르없음,0,0,0,0,0
미션 13,2014-04-24,1260000,1260000,310,310,5,31,미국,예지림엔터테인먼트,청소년관람불가,공포,다니엘스탬,0,6205,1286398,428799
라스트 엑소시즘,2010-12-01,675000,724932000,135,103545,1,1,미국,(주)시너지하우스(시너지),15세이상관람가,공포,다니엘스탬,0,416201,0,0
상하이 콜링,2013-12-24,1000000,1000000,200,200,5,5,미국,(주)수키픽쳐스,12세이상관람가,멜로로맨스,0,0,440,66790,22263
로스트 맨,2009-08-06,3494500,3550500,496,508,1,74,프랑스,(주)영화사진진,청소년관람불가,드라마,다니엘아르비드,0,10990,90165,45082
10일간의 원나잇 스탠드,2012-11-29,3180000,3180000,1510,1510,1,6,프랑스,(주)소나무픽쳐스,청소년관람불가,멜로로맨스,다니엘아르비드,0,41,0,0
밀레니엄 : 제3부 벌집을 발로 찬 소녀,2012-04-05,9462000,9462000,1211,1211,9,127,기타,(주)팝엔터테인먼트,청소년관람불가,범죄,다니엘알프레드슨,2282,10283,5065,1688
밀레니엄 : 제2부 불을 가지고 노는 소녀,2012-03-22,16831500,16831500,2282,2282,6,175,기타,(주)팝엔터테인먼트,청소년관람불가,스릴러,다니엘알프레드슨,0,10817,3285,1642
미스터 하이네켄,2015-09-17,29494300,29494300,3711,3711,54,522,영국,(주)스톰픽쳐스코리아,15세이상관람가,액션,다니엘알프레드슨,0,36938,155901,51967
이지머니,2016-02-18,633000,633000,104,104,5,18,기타,(주)소나무픽쳐스,청소년관람불가,액션,다니엘에스피노사,21604,1511,21604,10802
차일드 44,2015-05-28,168643231,168643231,21604,21604,145,1865,미국,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,스릴러,다니엘에스피노사,0,1127274,3721993,1240664
세이프 하우스,2012-02-29,5000,1223156500,1,163730,1,1,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,액션,다니엘에스피노사,0,306807,813340,406670
라이프,2017-04-05,503219086,503219086,459984,459984,647,27762,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,SF,다니엘에스피노사,10854,1065218,2877623,959207
굿바이 버클리,2016-03-10,15817700,15817700,2084,2084,16,209,미국,(주)영화사진진,15세이상관람가,드라마,0,0,23609,35425,11808
우물 파는 남자의 딸,1900-01-01,344000,507000,39,60,1,1,프랑스,0,등급없음,장르없음,0,0,0,0,0
몬스터 가디언즈,2019-03-14,1000,1000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,청소년관람불가,액션,0,0,892,430,430
섹스 앤 데스,2010-02-04,132000,132000,26,26,2,17,미국,0,청소년관람불가,코미디,0,0,0,0,0
역사수업,1900-01-01,198000,198000,35,35,1,3,기타,0,등급없음,장르없음,다니엘위예,0,0,0,0
안나 막달레나 바흐의 연대기,1900-01-01,656000,656000,138,138,1,3,프랑스,0,등급없음,드라마,다니엘위예,0,0,0,0
타임 러쉬,2018-02-08,24000,24000,15,15,5,15,미국,0,15세이상관람가,액션,다니엘지릴리,60,0,0,0
크로씽 포인트,2016-07-06,300000,300000,60,60,1,1,미국,(주)블루브릭,청소년관람불가,액션,다니엘지릴리,0,42,1777,592
할로우 포인트,2019-12-19,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,액션,다니엘지릴리,15,71,6,3
거리에서,1900-01-01,100000,100000,20,20,1,4,기타,0,등급없음,다큐멘터리,0,0,0,0,0
아들이었다,1900-01-01,415000,415000,77,77,1,3,이탈리아,0,등급없음,드라마,0,0,0,0,0
스틸 더 머니: 314 비밀금고,2018-06-28,113000,3085500,54,452,1,6,스페인,(주)더블앤조이픽쳐스,12세이상관람가,범죄,다니엘칼파소로,0,7086,5337,1779
더 워닝,2020-05-06,2267500,2267500,477,477,32,199,스페인,(주)더블앤조이픽쳐스,15세이상관람가,스릴러,다니엘칼파소로,452,7071,452,452
논스톱: 분노의 질주,2013-11-28,10598000,10598000,5076,5076,5,29,스페인,(주)소나무픽쳐스,청소년관람불가,액션,다니엘칼파소로,0,1218,0,0
쉐프,2013-05-30,348000,70555500,40,9724,1,1,프랑스,(주)미디어데이,전체관람가,코미디,0,0,77409,50623,25311
본 투 드라이브,2019-12-12,8020000,8020000,1072,1072,36,338,기타,시네마뉴원,전체관람가,다큐멘터리,0,0,2518,0,0
헌팅 오브 힐하우스,2019-09-05,190000,190000,37,37,5,28,미국,위드라이언픽쳐스,청소년관람불가,스릴러,다니엘패런즈,0,1,1,0
O.J. 심슨 사건 파일,2020-08-05,6906000,6906000,1374,1374,50,80,미국,(주)스마일이엔티,청소년관람불가,스릴러,다니엘패런즈,37,131334,26,13
월터의 선택,1900-01-01,38000,2412000,19,1201,1,4,미국,0,등급없음,장르없음,0,0,0,0,0
소닉 씨,1900-01-01,1884000,1884000,314,314,1,3,미국,0,등급없음,다큐멘터리,0,0,0,0,0
스네이크 스킨,1900-01-01,585000,585000,117,117,1,2,기타,0,등급없음,다큐멘터리,0,0,0,0,0
엄마는 여자를 좋아해,2004-04-30,23383500,23383500,3911,3911,6,214,스페인,판씨네마(주),15세이상관람가,코미디,0,0,3663,0,0
일 트로바토레 잘츠부르크 페스티벌,2015-07-25,11064500,35178000,704,1673,11,40,독일,(주)케빈앤컴퍼니,전체관람가,공연,0,0,1777,1831,1831
디아즈: 이 피를 지우지 말라,2014-04-17,4421000,4421000,814,814,5,15,이탈리아,(주)미디어데이,청소년관람불가,드라마,0,0,24311,0,0
"사라진 마을, 알로스",1900-01-01,127500,127500,51,51,1,2,이탈리아,0,등급없음,다큐멘터리,0,0,0,0,0
크리스마스 트리,1900-01-01,544000,544000,78,78,1,2,프랑스,0,등급없음,코미디,다니엘르톰슨,0,0,0,0
파리의 연인들,2007-02-08,370000,53082100,53,8140,1,1,프랑스,(주)영화사진진,12세이상관람가,멜로로맨스,다니엘르톰슨,0,12571,0,0
"나의 위대한 친구, 세잔",2016-12-15,147000,150109500,21,20556,1,1,프랑스,그린나래미디어(주),15세이상관람가,드라마,다니엘르톰슨,0,35641,5275,2637
주인이 잠든 사이,1900-01-01,6435,6435,9,9,1,2,이탈리아,0,전체관람가,애니메이션,다도마니스튜디오,0,0,0,0
자동차 론,1900-01-01,11398,11398,51,51,1,2,이탈리아,0,등급없음,애니메이션,다도마니스튜디오,0,0,0,0
주택 론,1900-01-01,11398,11398,51,51,1,2,기타,0,등급없음,애니메이션,다도마니스튜디오,0,0,0,0
라바짜 - 내 맘대로 동화,1900-01-01,4914,4914,30,30,1,2,이탈리아,0,전체관람가,애니메이션,0,0,0,0,0
바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,2016-06-02,0,350932000,0,58619,1,1,영국,와이드릴리즈(주),전체관람가,애니메이션,다라오코넬,60979,8154,3521957,1173985
바다 탐험대 옥토넛 시즌4: 빙하탐험선S,2016-02-25,18000,361614000,2,60979,1,1,영국,와이드릴리즈(주),전체관람가,애니메이션,다라오코넬,0,7321,4626032,1542010
바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,2017-01-25,405330500,405330500,60980,60980,145,2647,영국,와이드릴리즈(주),전체관람가,애니메이션,다라오코넬,63172,10504,2437666,812555
바다 탐험대 옥토넛 시즌4: 늪지탐험선K,2016-09-28,240000,420473500,37,69918,1,11,영국,와이드릴리즈(주),전체관람가,애니메이션,다라오코넬,59799,9063,2852087,950695
바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,481425000,481425000,73797,73797,167,2880,영국,와이드릴리즈(주),전체관람가,애니메이션,다라오코넬,62624,12230,2493938,831312
킬러,1900-01-01,210000,210000,21,21,1,1,기타,0,등급없음,액션,0,0,0,0,0
데스티네이션 콘트롤,2019-03-26,1000,1000,1,1,1,1,영국,(유)조이앤컨텐츠그룹,15세이상관람가,미스터리,0,0,888,0,0
나도 이미 들었어,1900-01-01,4336,4336,16,16,1,2,기타,0,등급없음,애니메이션,0,0,0,0,0
그리운 나날,1900-01-01,35000,35000,9,9,1,1,기타,0,등급없음,장르없음,0,0,0,0,0
채식주의자의 고기 굽는 법,1900-01-01,60000,60000,12,12,1,2,독일,0,등급없음,다큐멘터리,0,0,0,0,0
지알로,2012-06-14,400000,400000,100,100,1,1,미국,(유)조이앤컨텐츠그룹,청소년관람불가,드라마,다리오아르젠토,0,13953,171211,57070
페노미나,1989-08-05,935292,935292,146,146,1,2,이탈리아,0,청소년관람불가,공포,다리오아르젠토,0,0,0,0
회색 벨벳 위의 네 마리 파리,1900-01-01,1118000,1118000,166,166,1,11,이탈리아,0,등급없음,장르없음,다리오아르젠토,0,0,0,0
서스페리아 1977,1977-09-15,13155860,14886292,1498,1750,8,100,이탈리아,주식회사더쿱,청소년관람불가,공포,다리오아르젠토,0,0,0,0
보물을 찾아서,1900-01-01,198500,198500,78,78,1,2,미국,0,등급없음,다큐멘터리,0,0,0,0,0
파라노말 이니테이션,2014-12-18,59000,1225000,7,297,2,2,미국,스크린조이,15세이상관람가,공포,0,0,1359,0,0
모더니스트 해리 자이들러,1900-01-01,390000,390000,65,65,1,2,기타,0,등급없음,다큐멘터리,0,0,0,0,0
사쿠라-마지막 정사,2013-08-29,20000,20000,10,10,1,1,일본,(유)조이앤컨텐츠그룹,청소년관람불가,멜로로맨스,다무라다카유키,10,1546,40,40
"이룰 수 없는 사랑, 그리고 섹스",2011-12-15,30000,30000,10,10,1,1,일본,0,청소년관람불가,에로,다무라다카유키,10,0,0,0
쥬리의 스와핑 다이어리,2011-04-28,30000,30000,10,10,1,1,일본,0,청소년관람불가,에로,다무라다카유키,0,0,0,0
동창생,2015-07-09,5000,5000,1,1,1,1,일본,(유)조이앤컨텐츠그룹,청소년관람불가,멜로로맨스,0,0,1657,1591,795
황야의 난폭자,1900-01-01,347000,744000,115,180,1,6,이탈리아,0,등급없음,장르없음,0,0,0,0,0
유쾌한 과부,2020-10-02,5513000,5513000,211,211,6,55,이탈리아,0,12세이상관람가,공연,다미아노미키엘레토,2732,0,0,0
세비야의 이발사,2015-02-04,232000,33526500,22,2024,1,1,프랑스,0,등급없음,장르없음,다미아노미키엘레토,0,0,0,0
사랑의 묘약,2018-07-07,13660500,56524500,837,2732,6,48,미국,(주)인스터글로벌,전체관람가,공연,다미아노미키엘레토,0,1450,0,0
분노의 질주,1900-01-01,11168,11168,51,51,1,3,기타,0,등급없음,애니메이션,0,0,0,0,0
추격자: 살인자의 증거,2019-07-24,75949000,75949000,24337,24337,3,103,독일,제인앤유,청소년관람불가,드라마,0,0,6399,0,0
이사도라의 아이들,1900-01-01,327000,327000,49,49,1,3,프랑스,0,등급없음,드라마,0,0,0,0,0
리차드 O.의 이야기,1900-01-01,289000,289000,45,45,2,7,프랑스,0,등급없음,드라마,0,0,0,0,0
피다이,1900-01-01,341000,341000,135,135,1,2,프랑스,0,등급없음,다큐멘터리,0,0,0,0,0
구두장이,1900-01-01,66638,66638,94,94,1,2,기타,0,등급없음,애니메이션,0,0,0,0,0
살인의 기억,2014-12-18,32000,1698000,4,394,2,2,기타,(유)조이앤컨텐츠그룹,15세이상관람가,SF,0,0,1528,0,0
신경쇠약 직전의 뱀파이어,2015-05-21,270000,270000,54,54,1,1,기타,(주)컴퍼니엘,15세이상관람가,코미디,0,0,669,1169,584
작디작은 하나의 물체,1900-01-01,132000,132000,19,19,1,2,기타,0,등급없음,드라마,0,0,0,0,0
웻랜드,2015-08-06,930000,930000,180,180,5,18,독일,모비딕엔터테인먼트(주),청소년관람불가,코미디,0,0,37,0,0
돈키호테 맨 오브 라만차,2017-01-26,192000,192000,78,78,5,30,미국,주식회사풍경소리,12세이상관람가,어드벤처,0,0,194,902240,300746
베니스영화제 스케치,1900-01-01,114000,114000,20,20,1,2,이탈리아,0,등급없음,장르없음,0,0,0,0,0
투캅스 인 파리,2015-03-26,34266000,34266000,6786,6786,51,134,프랑스,노바엔터테인먼트,청소년관람불가,액션,0,0,1120,46998,23499
아이 엠 더블린,1900-01-01,70000,70000,14,14,1,2,기타,0,등급없음,다큐멘터리,0,0,0,0,0
정글 번치 - 뉴스 비트 17,1900-01-01,2145,2145,3,3,1,2,프랑스,0,전체관람가,애니메이션,다비드알로,0,0,0,0
정글번치: 최강 악당의 등장,2018-04-19,292593700,292593700,37343,37343,331,1887,프랑스,0,등급없음,장르없음,다비드알로,0,0,0,0
스파이크2,2013-12-05,44310,44310,56,56,1,3,프랑스,예지림엔터테인먼트,전체관람가,애니메이션,다비드알로,66219,6235,0,0
스파이크,2013-12-05,151226500,151226500,25190,25190,159,1200,프랑스,예지림엔터테인먼트,전체관람가,애니메이션,다비드알로,66219,6235,85245,42622
정글번치 : 빙산으로의 귀환,2013-10-02,1547000,410389805,221,66219,1,2,프랑스,(주)팝엔터테인먼트,전체관람가,애니메이션,다비드알로,0,9463,0,0
인 더 섀도우,1900-01-01,270000,270000,41,41,1,2,기타,0,등급없음,장르없음,0,0,0,0,0
로스트리전: 로마군단의 반란,2014-08-21,50000,50000,10,10,1,1,캐나다,미디어소프트,청소년관람불가,액션,0,0,191,0,0
시작은 키스!,2012-06-14,26400,252250900,3,32880,1,1,프랑스,판씨네마(주),12세이상관람가,코미디,0,0,9687,206769,68923
야공작,2017-06-01,75000,1927000,13,334,1,7,중국,(주)액티버스엔터테인먼트,15세이상관람가,멜로로맨스,0,0,93,910,303
The Dam Keeper,1900-01-01,1845000,1845000,371,371,2,48,미국,0,등급없음,장르없음,0,0,0,0,0
마이 와이프의 은밀한 제안,2014-04-10,270000,270000,54,54,1,1,일본,(주)엔케이컨텐츠,청소년관람불가,에로,0,0,0,0,0
산리즈카에 살다: 나리타 이야기,1900-01-01,528500,528500,103,103,1,6,일본,0,등급없음,다큐멘터리,0,0,0,0,0
파리에서의 마지막 키스,1900-01-01,1072000,1072000,207,207,1,3,프랑스,0,청소년관람불가,드라마,0,0,0,0,0
지붕 위의 새싹,1900-01-01,257000,257000,108,108,1,2,미국,0,등급없음,다큐멘터리,0,0,0,0,0
내 친구의 사생활,2008-10-09,0,476366500,0,74416,1,6,미국,(주)엠플러스픽쳐스,15세이상관람가,멜로로맨스,0,0,188842,218367,72789
심령 식당,2017-06-24,5000,5000,1,1,1,1,일본,0,청소년관람불가,공포,다이치로나츠메,0,0,0,0
잔혹 괴담,2017-06-24,5000,5000,1,1,1,1,일본,0,청소년관람불가,공포,다이치로나츠메,0,0,0,0
도시 전설,2017-07-03,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,공포,다이치로나츠메,1,5,0,0
심령 식당:잔인한 만찬,2017-11-22,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,공포,다이치로나츠메,1,4,0,0
왜곡:저주받은 공간,2017-09-20,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,공포,다이치로나츠메,1,4,0,0
흑마술사,2018-03-08,74000,74000,31,31,5,31,기타,(유)조이앤컨텐츠그룹,15세이상관람가,판타지,다인사이드,0,998,0,0
옹박 : 영웅의 탄생,2013-02-21,3601000,3601000,1723,1723,1,6,기타,(주)소나무픽쳐스,청소년관람불가,액션,다인사이드,0,367,0,0
다일레이티드 픽셀의 2011-2012 텔레비전 VFX,1900-01-01,10620,10620,64,64,1,2,미국,0,등급없음,장르없음,0,0,0,0,0
G컵 수사관 란,2011-05-04,30000,30000,10,10,1,1,일본,0,청소년관람불가,에로,0,0,0,2,0
감성에 젖은 음대선생님,2019-06-03,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,0,0,0,0,0
유혹당한 요가교실,2018-03-01,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,0,0,20,0,0
새엄마는 현역 여대생,2018-12-14,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,0,0,0,0,0
아내의 섹시한 직장동료,2018-12-14,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,0,0,0,0,0
누나와 하코네 온천여행,2018-01-04,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,에로,0,0,22,0,0
역대급 유부녀수영교실,2019-06-03,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,0,0,0,0,0
동경대 미녀 가정교사,2018-08-02,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,0,0,0,0,0
극장판 도라에몽: 진구의 남극 꽁꽁 대모험,2017-08-10,1181952900,1181952900,167052,167052,351,4274,일본,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,0,0,811400,0,0
샤워실의 딸친구,2019-07-06,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,0,0,0,0,0
이자카야의 미인 주인딸,2019-10-07,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,0,0,0,0,0
팬더와 친구들의 모험,2013-08-24,235000,235000,47,47,1,7,일본,(주)얼리버드픽쳐스,전체관람가,애니메이션,다카하타이사오,23642,191,59805,59805
알프스소녀 하이디,1900-01-01,130000,130000,65,65,1,8,기타,0,등급없음,장르없음,다카하타이사오,0,0,0,0
이웃집 야마다군,2006-06-08,430000,18965000,88,2979,1,2,일본,0,전체관람가,애니메이션,다카하타이사오,23587,0,0,0
반딧불이의 묘,2014-06-19,6008800,23818800,814,3674,33,197,일본,에이원엔터테인먼트,12세이상관람가,애니메이션,다카하타이사오,11600,19286,0,0
추억은 방울방울,2006-06-08,26043500,26043500,4006,4006,1,116,일본,0,전체관람가,애니메이션,다카하타이사오,23587,0,0,0
빨간머리 앤 : 네버엔딩스토리,2014-04-17,43216400,43216400,6181,6181,96,719,일본,와이드릴리즈(주),전체관람가,애니메이션,다카하타이사오,11844,7484,820,273
가구야공주 이야기,2014-06-04,474000,126056300,94,16533,1,1,일본,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,다카하타이사오,9956,790432,10,3
폼포코 너구리 대작전,2005-04-28,470000,150250500,96,23587,1,2,일본,대원미디어(주),전체관람가,애니메이션,다카하타이사오,0,21592,0,0
빨간머리 앤 : 그린게이블로 가는 길,2013-01-09,420000,166697500,60,23642,1,1,일본,(주)미디어데이,전체관람가,애니메이션,다카하타이사오,0,128151,0,0
호텔 비너스,2004-09-10,28389500,28389500,4358,4358,4,135,일본,CJENM,12세이상관람가,드라마,0,0,249601,165355,55118
부엌에서 시작된 정사,2019-08-05,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,0,0,0,0,0
