영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,감독값,배급사값,배우합,배우평균
금발의 비너스,1900-01-01,217000,217000,46,46,1,4,미국,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
푸른 천사,1900-01-01,240000,240000,48,48,1,3,독일,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
불명예,1900-01-01,146000,256000,29,51,1,2,미국,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
상하이 제스처,1900-01-01,80000,280000,17,57,1,2,미국,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
마지막 명령,1900-01-01,230000,364000,46,73,1,3,미국,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
죄와 벌,1900-01-01,404000,404000,80,80,1,3,미국,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
뉴욕의 선창,1900-01-01,244000,420000,49,82,1,3,미국,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
아나타한,1900-01-01,364000,566000,77,123,1,3,일본,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
모로코,1900-01-01,26000,4431000,13,2090,1,1,미국,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
전웅 맥아더,1977-12-22,117000,302000,39,115,1,1,미국,0,등급없음,장르없음,0,0,0,0,0
4인의 무뢰한,1971-05-28,2628000,2628000,1309,1309,1,15,미국,0,등급없음,서부,조세프페브니,0,0,0,0
전함 발진하라,1900-01-01,3018000,3018000,1509,1509,1,20,미국,0,등급없음,장르없음,조세프페브니,0,0,0,0
행복에 젖은 아가씨,1900-01-01,1032000,3645000,511,1763,1,22,미국,0,등급없음,멜로로맨스,조세프페브니,0,0,0,0
마일드 앤 러블리,2016-06-30,2599000,2599000,469,469,4,44,미국,알토미디어(주),청소년관람불가,멜로로맨스,0,0,2106,12714,6357
드레스메이커,2016-02-11,447353000,447353000,56316,56316,176,3058,기타,(주)리틀빅픽쳐스,15세이상관람가,드라마,0,0,213512,821587,273862
건크레이지,1900-01-01,54000,302000,27,75,1,2,미국,0,등급없음,범죄,0,0,0,0,0
분노의 전차군단,2017-05-08,3000,3000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,15세이상관람가,전쟁,조셉J.로손,269,1475,0,0
나치의 대침공,2015-11-19,4000,4000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,청소년관람불가,액션,조셉J.로손,537,1664,0,0
나홀로 크리스마스,2016-12-08,4000,4000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,12세이상관람가,코미디,조셉J.로손,358,1561,0,0
드래곤 킹 레전드,2015-05-21,90000,90000,18,18,2,18,미국,스크린조이,12세이상관람가,액션,조셉J.로손,1057,938,0,0
에이지 오브 다이노소어,2014-10-15,4743000,4743000,1057,1057,20,35,미국,(유)조이앤컨텐츠그룹,15세이상관람가,SF,조셉J.로손,0,1569,0,0
대탈옥,1971-01-24,126000,126000,25,25,1,2,미국,0,등급없음,장르없음,0,0,0,0,0
꿀단지,1900-01-01,158000,158000,31,31,1,2,미국,0,등급없음,장르없음,조셉L.맨키위즈,0,0,0,0
발자국,1900-01-01,212000,212000,42,42,1,2,미국,0,등급없음,미스터리,조셉L.맨키위즈,0,0,0,0
유령과 뮤어 부인,1900-01-01,1555000,1555000,243,243,1,6,미국,0,15세이상관람가,드라마,조셉L.맨키위즈,0,0,0,0
세 아내에게 온 편지,1900-01-01,998000,2208000,499,936,1,16,미국,0,등급없음,장르없음,조셉L.맨키위즈,0,0,0,0
노 웨이 아웃,1900-01-01,2342000,7259000,1166,3601,1,20,미국,0,등급없음,범죄,조셉L.맨키위즈,0,0,0,0
줄리어스 시저,1955-03-11,162000,7850000,81,3808,1,14,미국,0,등급없음,드라마,조셉L.맨키위즈,0,0,0,0
맨발의 백작부인,1956-02-28,1238000,9364000,406,4191,1,24,미국,0,등급없음,드라마,조셉L.맨키위즈,3808,0,17243,5747
아가씨와 건달들,1997-11-15,925000,13570000,460,6438,1,26,미국,0,등급없음,뮤지컬,조셉L.맨키위즈,0,0,183,61
지난 여름 갑자기,1900-01-01,1900000,15654000,968,7305,1,29,미국,0,등급없음,드라마,조셉L.맨키위즈,0,0,0,0
클레오파트라,1967-03-25,357000,19967000,123,9315,1,6,미국,0,15세이상관람가,드라마,조셉L.맨키위즈,0,0,0,0
스크림 더 데빌,2016-12-29,300000,300000,60,60,1,1,미국,주식회사루믹스미디어,청소년관람불가,미스터리,0,0,51,0,0
돈 존,2014-01-09,96323000,96323000,12044,12044,49,839,미국,(주)미디어데이,청소년관람불가,코미디,0,0,30428,6061032,2020344
녹색 머리의 소년,1900-01-01,129000,129000,25,25,1,3,미국,0,등급없음,장르없음,조셉로지,0,0,0,0
사랑의 상처,1900-01-01,348000,1002000,70,191,1,4,기타,0,등급없음,장르없음,조셉로지,0,0,0,0
하인,1900-01-01,450000,1172000,69,202,1,3,영국,0,등급없음,드라마,조셉로지,0,0,0,0
무슈 클라인,1900-01-01,1077000,1486000,167,244,1,4,프랑스,0,등급없음,장르없음,조셉로지,0,0,0,0
포가튼,2004-12-03,1281609500,1281609500,198010,198010,65,5343,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,스릴러,0,0,110820,21897,10948
앤: 영혼이 깃든 인형,2018-09-23,1000,1000,1,1,1,1,미국,0,15세이상관람가,공포,0,0,0,0,0
톰과 제리 아카데미 가다,2014-12-11,42438000,42438000,5909,5909,54,312,미국,0,등급없음,장르없음,0,0,0,0,0
내 심혼의 음악,1900-01-01,130000,2850000,65,1425,1,9,미국,0,등급없음,장르없음,0,0,0,0,0
비는 행운을 싣고,1900-01-01,930000,4142000,443,1825,1,15,미국,0,등급없음,장르없음,0,0,0,0,0
지하실,2017-02-13,8000,8000,1,1,1,1,미국,(주)티에스앤컴퍼니,청소년관람불가,스릴러,0,0,1,0,0
제네시스 : 새로운 시대의 서막,2017-07-05,3000,3000,1,1,1,1,미국,주식회사레드아이스,15세이상관람가,SF,0,0,19,0,0
매트 헌터,1986-05-03,30000,402000,15,201,1,1,미국,0,등급없음,액션,0,0,0,0,0
