,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독
433,포 페더스,,40000,40000,20,20,1,1,영국,,,장르없음,졸탄 코다
434,채리불: 천하제일권,2016-10-06,5000,5000,1,1,1,1,중국,,[국내] 12세 관람가,장르없음,주극
435,의사 안중근,1972-02-16,1184000,1184000,684,684,1,9,한국,,[국내] 전체 관람가,장르없음,주동진
436,존 웨인의 히프,,174000,646000,36,112,1,3,포르투갈,,,장르없음,주앙 세자르 몬테이로
437,남자로 죽다,,277000,277000,44,44,1,2,포르투갈,,,장르없음,주앙 페드로 로드리게스
438,모두 잘 지내고 있다오,,310000,522000,57,100,1,2,이탈리아,,,장르없음,쥬세페 토르나토레
439,단순한 형식,,799000,799000,141,141,1,14,이탈리아,,,장르없음,쥬세페 토르나토레
440,소문의 여자,2018-01-02,2000,2000,1,1,1,1,한국,,[국내] 청소년 관람불가,장르없음,지슬
441,아디오스 사바타,1972-04-20,96000,196000,48,86,1,1,스페인,,,장르없음,지안프랑코 파롤리니
442,황제의 검신,2018-06-28,30000,30000,30,30,5,30,중국,,[국내] 15세 관람가,장르없음,진진
443,서방님 따라서,1971,5456000,5456000,2723,2723,1,32,한국,,[국내] 청소년 관람불가,장르없음,진천
444,청소년 나타,,837000,837000,124,124,1,3,대만,,,장르없음,차이 밍 량
445,하류,,1388000,1388000,200,200,1,3,대만,,,장르없음,차이 밍 량
446,카르멘의 사랑,,20000,2226000,10,1113,1,2,미국,,15세 관람가 ,장르없음,찰스 비더
447,고스트스,,11398,11398,51,51,1,2,프랑스,,,장르없음,체에르체에르
448,미완성생활사,,12000,12000,3,3,1,1,중국,,,장르없음,총 펑
449,애와 사,1970,420000,420000,210,210,1,4,한국,,,장르없음,최경옥
450,눈물의 여인,1969,1042000,2204000,521,1102,1,11,한국,,,장르없음,최경옥
451,피어린 구월산,1965-09-22,18000,18000,3,3,1,1,한국,,,장르없음,최무룡
452,놈에게 복수하는 법,,20000,20000,8,8,1,1,한국,,,장르없음,"최미경,아오리"
453,감금,2018-05-17,2000,2000,1,1,1,1,한국,,[국내] 청소년 관람불가,장르없음,최석원
454,내딸 : 아찔한 동거,2018-03-08,2000,2000,1,1,1,1,한국,,[국내] 청소년 관람불가,장르없음,최석원
455,리턴,2018-06-22,2000,2000,1,1,1,1,한국,,[국내] 청소년 관람불가,장르없음,최석원
456,섹남섹녀,2018-04-26,2000,2000,1,1,1,1,한국,,[국내] 청소년 관람불가,장르없음,최석원
457,처제의 속사정,2017-09-07,2000,2000,1,1,1,1,한국,,[국내] 청소년 관람불가,장르없음,최석원
458,철없는 아내의 이중생활,2017-11-23,3000,3000,1,1,1,1,한국,,[국내] 청소년 관람불가,장르없음,최석원
459,유부녀 야썰,2017-12-05,5000,5000,1,1,1,1,한국,,[국내] 청소년 관람불가,장르없음,최석원
460,영시,,1158000,1158000,152,152,2,16,한국,,[국내] 15세 관람가,장르없음,최시형
461,10층의 모기,2011-03-10,158000,158000,32,32,1,3,일본,,,장르없음,최양일
462,민며느리,1965-09-10,1522000,5749000,761,2873,1,18,한국,,,장르없음,최은희
463,암굴왕,1968,858000,2887000,429,1441,1,17,한국,,,장르없음,최인현
464,아씨,,638000,6824000,319,3402,1,11,한국,,,장르없음,최인현
465,운전수업,,49000,49000,49,49,1,1,한국,,,장르없음,최재영
466,임팩트,,279000,279000,279,279,1,3,한국,,,장르없음,최재혁
467,그림자도 없다,,82000,82000,41,41,1,2,한국,,,장르없음,최창환
468,고슴도치 고슴,,63418,63418,74,74,1,3,한국,,,장르없음,최하나
469,초대받은 사람들,1981-10-24,58000,7125000,29,2505,1,4,한국,,[국내] 전체 관람가,장르없음,최하원
470,파문,1968,529000,529000,264,264,1,16,한국,,,장르없음,최훈
471,물망초,1969,182000,12172000,91,5399,1,8,한국,,,장르없음,최훈
472,남편몰래이웃남자와,2018-03-05,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,츠키카게 쿠로우
473,사라진 제국,,168000,168000,26,26,1,2,러시아,,,장르없음,카렌 샤크나자로브
474,토요일밤과 일요일아침,,300000,300000,150,150,1,12,영국,,,장르없음,카렐 라이츠
475,마법사를 사랑하라,,484000,484000,101,101,1,3,스페인,,,장르없음,카를로스 사우라
476,아내의 마사지:터져버린 샘물,2017-09-30,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,[국내] 청소년 관람불가,장르없음,카신 아츠코
477,아니메의 미래,,229331,229331,52,52,1,3,일본,,,장르없음,"카와마타 히로시,미야시타 신페이"
478,미인 여주인의 애욕일기,2017-07-27,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,카와사키 군지
479,퍼블릭 아이,,39000,39000,8,8,1,1,영국,,,장르없음,캐롤 리드
480,뮌헨행 야간열차,,58000,58000,10,10,1,2,영국,,,장르없음,캐롤 리드
481,별들이 내려온다,,56000,56000,11,11,1,2,영국,,,장르없음,캐롤 리드
482,여우와 자전거,,47500,47500,19,19,1,2,네덜란드,,,장르없음,코니 베네덴
483,치한전철 음란코스,2018-09-06,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,코야마 사토루
484,거유 출판사 여직원,2018-08-09,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,코지마 유키오
485,연애희곡,,816000,816000,136,136,1,1,일본,,[국내] 12세 관람가,장르없음,코카미 쇼지
486,탕왕,,12000,12000,3,3,1,2,태국,,,장르없음,콩데이 자투라나사미
487,당신이 너무 만족스러워,2018-10-05,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,쿠니자와 미노루
488,미래에서 온 육덕여친,2018-07-30,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,쿠니자와 미노루
489,아이돌의 속옷구경,2018-10-05,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,쿠니자와 미노루
490,판타스틱 신드롬,,56000,56000,19,19,1,2,일본,,,장르없음,쿠준
491,사이공,1989-06-17,63000,63000,21,21,1,1,미국,,,장르없음,크리스토퍼 크로우
492,시티 빌로우,,190000,190000,39,39,1,3,독일,,,장르없음,크리스토프 호흐호이슬러
493,볼프스부르크,,198000,198000,42,42,1,3,독일,,,장르없음,크리스티안 펫졸드
494,보험 설계사의 은밀한 영업,2018-01-25,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,크왓치
495,브리지,,492000,786000,108,170,1,3,미국,,,장르없음,클린트 이스트우드
496,여대생의 오일마사지,2017-09-28,30000,30000,5,5,1,2,일본,,[국내] 청소년 관람불가,장르없음,키무라 켄지
497,쿠단,,910,910,10,10,1,1,일본,,,장르없음,키무라 타쿠
498,금지된 장난: 시아주버니,2018-03-05,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,키탄
499,할렐루야,,48000,48000,11,11,1,3,미국,,,장르없음,킹 비더
500,빅 퍼레이드,,218000,306000,47,66,1,4,미국,,,장르없음,킹 비더
501,OL 러브채팅,,35000,35000,7,7,1,1,일본,,[국내] 청소년 관람불가,장르없음,타지리 유지
502,경련,,21000,1225000,6,248,1,1,일본,,,장르없음,타지리 유지
503,평일낮의 아내 도촬,2018-07-12,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,타카사카 유타
504,완벽한 여비서,2017-11-17,5000,5000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,타카오카 주이치
505,옆집 유부녀의 가슴,2017-06-22,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,타카하시 카즈히코
506,젖은 애인백서,2018-09-06,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,타케호라 테츠야
507,사랑은 이긴다,,427000,427000,63,63,1,3,말레이시아,,,장르없음,탄 추이무이
508,인간의 시간,,6000,6000,1,1,1,1,한국,,,장르없음,태준식
509,환희의 집,,340000,340000,68,68,1,3,영국,,,장르없음,테렌스 데이비스
510,늑대인간의 저주,,377000,377000,67,67,1,3,영국,,,장르없음,테렌스 피셔
511,크럼,,102000,302000,17,60,1,2,미국,,,장르없음,테리 즈위고프
512,외로운 아줌마의 성욕,2019-01-28,2000,2000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,테에자가
513,거유 며느리의 손님,2018-08-23,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,테이 쟈가
514,다시 사랑한 형수님,2018-08-23,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,테이 쟈가
515,빨간 아내-몽유정사,2018-08-23,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,테이 쟈가
516,어장관리 유부녀,2018-08-23,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,테이 쟈가
517,여주인과 노천탕에서,2018-08-23,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,테이 쟈가
518,욕정 도련님과 형수,2018-08-23,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,테이 쟈가
519,육욕의 속옷모델,2018-08-23,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,테이 쟈가
520,귀여운 형수님 - 제부,2017-03-02,8000,8000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,테이 쟈가
521,남편에겐 절대 비밀,2017-03-02,8000,8000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,테이 쟈가
522,세이프,,190000,190000,39,39,1,2,미국,,,장르없음,토드 헤인즈
523,포이즌,,365000,365000,68,68,1,4,미국,,,장르없음,토드 헤인즈
524,맑은 영혼들의 노래,,25000,25000,8,8,1,2,독일,,,장르없음,토머스 리델샤이머
525,은밀한쇼-달의장,2018-08-24,2000,2000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,토모마츠 나오유키
526,테러리스트들,,125000,125000,25,25,1,2,독일,,,장르없음,툰스카 판시티보라쿨
527,그린 파파야 향기,1994-07-30,2181000,2181000,1078,1078,1,26,프랑스,,[국내] 12세 관람가,장르없음,트란 안 홍
528,벌거벗은 공간: 지속되는 삶,,28000,28000,4,4,1,2,미국,,,장르없음,트린 민하
529,재집합,,49000,49000,7,7,1,2,미국,,,장르없음,트린 민하
530,밤의 여로,,34000,87000,5,16,1,2,미국,,,장르없음,트린 민하
531,사랑의 동화,,82000,163000,12,29,1,2,미국,,,장르없음,트린 민하
532,거리의 악사,,1544000,3721000,772,1853,1,18,영국,,,장르없음,팀 웰랜
533,팔코네 기숙사,,51000,72000,39,55,1,2,이탈리아,,,장르없음,파스콸레 시메카
534,알롱상팡,,104000,150000,21,30,1,2,이탈리아,,,장르없음,"파올로 타비아니,비토리오 타비아니"
535,녹색의 해,,386000,386000,60,60,1,2,포르투갈,,,장르없음,파울로 로샤
536,러너,,65596,65596,92,92,1,2,독일,,,장르없음,파커 엘러만
537,선탠하는 사람들 2,,318000,394000,40,56,1,2,프랑스,,,장르없음,파트리스 르꽁트
538,로마,,116000,116000,25,25,1,3,이탈리아,,,장르없음,페데리코 펠리니
539,뼈,,210000,210000,43,43,1,3,포르투갈,,,장르없음,페드로 코스타
540,아무 것도 바꾸지 마라,,706000,706000,132,132,1,3,포르투갈,,,장르없음,페드로 코스타
541,피,,1198000,1198000,186,186,1,5,포르투갈,,,장르없음,페드로 코스타
542,반다의 방,,1147000,1605000,158,252,1,2,포르투갈,,,장르없음,페드로 코스타
543,"보르헤스, 시 속의 삶",,140000,140000,20,20,1,2,스페인,,,장르없음,페르난도 아라발
544,라 트라비아타,2015-08-12,22570500,22570500,1408,1408,12,96,영국,,[국내] 전체 관람가,장르없음,페터 콘비츠니
545,수평선,,92521,92521,131,131,1,2,루마니아,,,장르없음,폴 네고에스쿠
546,로잔나포에버,1997-12-13,168000,168000,84,84,1,1,미국,,[국내] 15세 관람가,장르없음,폴 웨이랜드
547,사람은 무엇으로 살아가나,,489000,489000,69,69,1,3,한국,,,장르없음,표민수
548,영원한 아이,,30000,30000,6,6,1,1,이란,,,장르없음,푸란 데라크샨데
549,아라쉬의 꿈,,50000,50000,10,10,1,1,이란,,,장르없음,푸란 데라크샨데
550,엠마뉴엘 2,1995-05-20,335000,335000,109,109,1,5,프랑스,허스키,청소년 관람불가 ,장르없음,프란시스 기아코베티
551,피니안의 무지개,,354000,354000,55,55,1,4,미국,,,장르없음,프란시스 포드 코폴라
552,칸티가의 안마당,2015-09-09,111000,111000,17,17,1,2,포르투갈,,[국내] 12세 관람가,장르없음,프란시스코 리베이루
553,하루 동안의 숙녀,,274000,274000,52,52,1,3,미국,,,장르없음,프랭크 카프라
554,홀 인 더 헤드,,1426000,1562000,713,741,1,8,미국,,,장르없음,프랭크 카프라
555,아카토네,,274000,274000,57,57,1,4,이탈리아,,,장르없음,피에르 파올로 파솔리니
556,매와 참새,,452000,452000,105,105,1,4,이탈리아,,,장르없음,피에르 파올로 파솔리니
557,밤임에도 불구하고,,260000,260000,53,53,1,3,프랑스,,,장르없음,필립 그랑드리외
558,몽키 비지니스,,686000,1392000,126,474,1,4,미국,,12세 관람가 ,장르없음,하워드 혹스
559,815 군산 : 돼지의 최후,,2000000,2000000,400,400,1,10,한국,,[국내] 15세 관람가,장르없음,한기중
560,가정부 길들이기,2018-12-26,938000,938000,169,169,20,20,한국,,[국내] 청소년 관람불가,장르없음,한동호
561,미움이 변하여,1972-08-03,492000,1350000,246,675,1,6,한국,,[국내] 전체 관람가,장르없음,한상훈
562,"일곱 살, 내가 태어난 이유",,25000,25000,7,7,1,2,독일,,,장르없음,"한스-헬무트 그로탼,안톄 스타로스트"
563,서브휴먼,,148690,148690,137,137,1,8,한국,,,장르없음,한재현
564,왕자 호동,,422000,3749000,227,1888,1,14,한국,,,장르없음,한형모
565,귀여운 여인,,543000,543000,75,75,1,3,대만,,,장르없음,허우 샤오시엔
566,고향의 푸른 잔디,,128000,699000,20,139,1,2,대만,,,장르없음,허우 샤오시엔
567,펑꾸이에서 온 소년,,2422500,2422500,360,360,2,12,대만,,,장르없음,허우 샤오시엔
568,동동의 여름방학,2008-06-10,1507000,3414000,232,573,1,6,대만,,,장르없음,허우 샤오시엔
569,연연풍진,,1968000,8497500,278,1291,1,12,대만,,,장르없음,허우 샤오시엔
570,옥화의 집,,545000,611000,109,120,1,3,한국,,,장르없음,허철녕
