,index,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
7370,24137,리틀 포레스트: 여름과 가을,2015-02-12,73267256,73267256,9609,9609,14,508,일본,(주)영화사 진진,12세이상관람가,드라마,모리 준이치,"하시모토 아이,마츠오카 마유"
7371,24138,리틀 포레스트 2: 겨울과 봄,2015-05-14,109000,82229544,13,10658,1,3,일본,(주)영화사 진진,12세이상관람가,드라마,모리 준이치,"하시모토 아이,마츠오카 마유"
7372,24139,불륜백서: 아내의 피트니스 강사,,300000,300000,60,60,1,1,일본,(주)콘텐츠랩자박,청소년관람불가,멜로로맨스,모리 쥰,사이토 하루미
7373,24140,남편 친구와의 섹스,2017-06-20,5000,5000,1,1,1,1,일본,(주) 영진크리에이티브,청소년관람불가,멜로로맨스,모리 히데토라,후지에 요시에
7374,24141,명기 사모님:몸으로 떼우기,2018-07-18,5000,5000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,모리 히데토라,0
7375,24142,밀애: 시아버지,2017-01-06,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,모리 히데토라,카토 츠바키
7376,24143,변태가 된 내 아내,2017-06-14,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,모리 히데토라,코바야카와 레이코
7377,24144,이웃집 여자의 신음,2017-03-03,5000,5000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,모리 히데토라,0
7378,24145,남편은 모른다,2017-06-30,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,청소년관람불가,멜로로맨스,모리 히데토라,0
7379,24146,불륜여행:온천의 뜨거운 밤,2017-07-07,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,청소년관람불가,멜로로맨스,모리 히데토라,호시자키 유나
7380,24147,불임 클리닉:아기가 갖고 싶어요,2019-06-11,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,모리 히데토라,0
7381,24148,잘 해주는 여비서,2019-08-27,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모리 히데토라,0
7382,24149,헤픈아내:남편은 모른다,2019-07-19,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모리 히데토라,0
7383,24150,프랑스인,,11858,11858,34,34,1,2,프랑스,0,등급없음,애니메이션,"모리간 보이어,줄리앙 하즈부르크,후 렌 시엔,엠마누엘 를루,로르톤 윌리엄",0
7384,21582,유니코 마법의 섬에 가다,,101000,101000,15,15,1,2,일본,0,등급없음,애니메이션,모리비 무라노,0
7385,22444,닭은 맨발이다,,244000,244000,51,51,1,3,일본,0,등급없음,코미디,모리사키 아즈마,"히지이 미카,이시바시 렌지,요 키미코"
7386,24151,르 가르슈,1998-03-14,142000,142000,28,28,1,3,프랑스,0,등급없음,장르없음,모리스 피알라,0
7387,24152,폴리스,,208000,208000,42,42,1,3,프랑스,0,등급없음,범죄,모리스 피알라,"제라르 드빠르디유,소피 마르소,리차드 안코니나"
7388,24153,우리의 사랑,2004-05-11,220000,220000,43,43,1,3,프랑스,0,등급없음,드라마,모리스 피알라,"상드린 보네르,도미니크 베스네하르드,모리스 피알라"
7389,24154,숲 속의 집,,453000,453000,86,86,1,3,프랑스,0,등급없음,드라마,모리스 피알라,"피에르 도리스,아가시 나탠슨"
7390,24155,우리는 함께 늙지 않는다.,,237000,515000,46,107,1,3,프랑스,0,등급없음,드라마,모리스 피알라,"마를렌 조베르,장 얀느,크리스틴 파브레가"
7391,23132,사탄의 태양 아래,,515000,655500,101,119,1,3,,0,등급없음,장르없음,모리스 피알라,0
7392,24156,대학부터 붙어라,,176000,689000,41,137,1,3,프랑스,0,등급없음,드라마,모리스 피알라,"사빈느 호데핑,아닉 앨런,발레리 채싱노"
7393,24157,룰루,,241000,1311000,47,191,1,3,프랑스,0,등급없음,드라마,모리스 피알라,"이자벨 위페르,제라르 드빠르디유,가이 마르컨드"
7394,24158,반고호,1992-10-03,961000,5201000,175,902,1,6,프랑스,0,15세이상관람가,드라마,모리스 피알라,"자크 뒤트롱,알렉산드라 런던,베르나르 르콕"
7395,24159,돌싱녀의 성접대의혹,2015-01-14,270000,270000,54,54,1,1,일본,페퍼민트픽쳐스,청소년관람불가,에로,모리시마 다이스케,코모리 아이
7396,24160,아내는 음란한 꽃,2015-02-17,270000,270000,54,54,1,1,일본,페퍼민트픽쳐스,청소년관람불가,에로,모리시마 다이스케,아카니시 료
7397,24161,붓다:싯다르타 왕자의 모험,2013-05-17,7788000,7788000,1196,1196,30,136,일본,(주)나이너스엔터테인먼트,15세이상관람가,애니메이션,모리시타 코조,최불암
7398,24162,엑스엑스,,15347,15347,29,29,1,3,일본,0,등급없음,애니메이션,모리시타 토요미,0
