영화명,개봉일,누적관객수,배급사,감독,배우
숲속으로,2014-12-24,341882,월트디즈니컴퍼니코리아유한책임회사,롭마샬,"메릴스트립,조니뎁,에밀리블런트,제임스코든,안나켄드릭,크리스파인"
나인,2009-12-31,491162,(주)시너지하우스(시너지),롭마샬,"다니엘데이루이스,마리온꼬띨라르,페넬로페크루즈,니콜키드먼"
게이샤의 추억,2006-02-02,849277,한국소니픽쳐스릴리징브에나비스타영화㈜,롭마샬,"공리,장쯔이,양자경"
캐리비안의 해적: 낯선 조류,2011-05-19,3130046,한국소니픽쳐스릴리징브에나비스타영화㈜,롭마샬,"이안맥쉐인,페넬로페크루즈,조니뎁"
플라이페이퍼,2013-03-20,40,(유)조이앤컨텐츠그룹,롭민코프,패트릭뎀시
헌티드 맨션,2004-04-15,9883,한국소니픽쳐스릴리징브에나비스타영화㈜,롭민코프,"에디머피,테렌스스탬프"
천재 강아지 미스터 피바디,2014-04-24,385552,CJENM,롭민코프,"티버렐,맥스찰스,에리얼윈터,레슬리만,스탠리투치,스티븐토보로스키,앨리슨제니"
포비든 킹덤: 전설의 마스터를 찾아서,2008-04-24,1211890,CJENM,롭민코프,"이연걸,성룡,마이클안가라노,유역비"
닌자 어쌔신 리벤지,2017-06-29,62,(유)조이앤컨텐츠그룹,"롭바드,존발라즈","롭바드,로저니브"
엘렉트라,2005-01-21,173048,이십세기폭스코아(주),롭보우먼,"제니퍼가너,고란비스닉"
포틀랜디아 - 제로 래츠,1900-01-01,91,0,롭쇼우,0
토마스와 친구들: 잃어버린 왕관,2014-11-13,15202,CJENM,롭실베스트리,"신용우,전태열,김승준"
토마스와 친구들: 용감한 기관차와 괴물소동,2016-10-13,27352,와이드릴리즈(주),롭실베스트리,"마크모라한,벤스몰,테레사갤러거"
러브레이스,2013-10-17,19933,씨너스엔터테인먼트(주),"롭엡스타인,제프리프리드먼","아만다사이프리드,샤론스톤,제임스프랭코,피터사스가드,아담브로디,주노템플"
주말에 생긴 일,1900-01-01,120,0,롭윌리엄스,"크리스칼리슬,조엘해리슨"
H2: 어느 살인마의 가족이야기,2010-06-10,1,(주)누리픽쳐스,롭좀비,"쉐리문좀비,체이즈라이트베넥,스카우트테일러-콤프튼,브래드듀리프,캐롤라인윌리암스,말콤맥도웰,타일러메인"
할로윈:살인마의 탄생,2009-05-14,30544,(주)성원아이컴,롭좀비,"스카우트테일러-콤프튼,말콤맥도웰"
트리플 엑스,2002-10-01,2,한국소니픽쳐스릴리징브에나비스타영화㈜,롭코헨,"빈디젤,마튼초카스,아시아아르젠토,사무엘L.잭슨"
데이라잇,1996-12-21,105,0,롭코헨,"실베스터스탤론,에이미브렌너먼,비고모텐슨"
알렉스 크로스,2013-03-14,22978,(주)인벤트스톤,롭코헨,"매튜폭스,타일러페리,에드워드번즈,레이첼니콜스,장르노"
허리케인 하이스트,2018-03-14,214949,(주)넥스트엔터테인먼트월드(NEW),롭코헨,"토비켑벨,매기그레이스"
스텔스,2005-07-28,532360,한국소니픽쳐스릴리징브에나비스타영화㈜,롭코헨,"제시카비엘,조쉬루카스,제이미폭스"
미이라 3:황제의 무덤,2008-07-30,4090885,유니버설픽쳐스인터내셔널코리아(유),롭코헨,"브렌든프레이저,마리아벨로,이연걸"
에이리언 컨버전스,2018-11-29,1,0,롭팔라티나,"캐롤라인이바리,마이클마르셀"
나치 오버로드,2020-02-06,1,(유)조이앤컨텐츠그룹,롭팔라티나,"톰시즈모어,도미니크스웨인"
논스톱 투 헬,2019-02-28,1,(유)조이앤컨텐츠그룹,롭팔라티나,"리즈패닝,조시로셋"
에일리언 인베이젼,1900-01-01,2,(유)조이앤컨텐츠그룹,롭팔라티나,"아리엘하더,매튜폴캠프,크리스티나리치아르디"
파이트 밸리,2017-06-13,50,0,롭호크,"홀리홈,미샤테이트,크리스사이보그"
외줄 타는 의사,1900-01-01,45,0,뢰헌화,0
24시간 달리는 쾌락 버스,2017-05-20,1,(주)영진크리에이티브,료카미이,요시자와아키호
상사의 아내2,2020-08-14,60,0,료타,0
우리 할머니는 점쟁이,1900-01-01,10,0,루룰루,0
두 미 러브,2013-03-06,3,(주)케이앤엔터테인먼트,"루비질,재키카투","리지에브로체레,크리스틴아망거,패트릭조코,발레리마에스"
걸스 나잇,2018-03-09,3334,0,루사이먼,0
큐리오사,2020-08-06,1480,(주)트리플픽쳐스,루주네,"노에미메를랑,니엘스슈나이더,벤자민라베른헤"
구층요탑: 전설의 부활,2017-05-10,2,(주)누리픽쳐스,루추안,"조우정,야오천"
초한지: 영웅의 부활,2013-03-28,8722,(주)인벤트스톤,루추안,"오언조,장첸,진람,유엽"
바그다드의 도둑,1900-01-01,498,0,"루&#;베르거,마이클파웰",0
볼케이노: 삶의 전환점에 선 남자,2012-11-22,3103,프리비젼엔터테인먼트,루나루나슨,"테오도로줄리어슨,마그렛헬가요한스도티어"
부드러운 위협,1900-01-01,89,0,"루도비치하바스,미카엘크렙스,플로랑루소,요안센더,마고바셀레르",0
제2의 찬스,1900-01-01,112,0,루돌프마테,0
비내리는 밤의 기적,1957-03-19,390,0,루돌프마테,"제인와이먼,밴존슨,페기캐슬"
미시시피의 도박사,1900-01-01,713,0,루돌프마테,0
3인의 난폭한 사람들,1900-01-01,912,0,루돌프마테,0
300 스파르탄,1900-01-01,5173,0,루돌프마테,"리처드이간,랠프리처드슨,다이안베이커"
마리안의 허상,1989-08-05,182,0,루돌프반덴버그,"돔호프먼,리셋안소니,케네스허디자인"
다크 하트,2018-12-14,1,(주)시네마리퍼블릭,루돌프부이텐닥,"카일슈미트,소냐킨스키,루카스틸,레이첼블랜차드"
올드르시흐 세들라체크 연대기,1900-01-01,121,0,루돌프스미트,0
보이지 않는 숨결,2006-05-12,8,0,루디바리셸로,"장니콜라스베로,이사벨리처,줄리리브리턴"
런 테이큰,1900-01-01,1,스크린조이,루바나다,"알렉산더시디그,조슈아잭슨,마리사토메이"
도시의 거리,1900-01-01,27,0,루벤마물리안,0
러브 미 투나잇,1900-01-01,44,0,루벤마물리안,"모리스슈발리에,자넷맥도널드,찰스러글스"
부활,1900-01-01,808,0,루벤마물리안,0
혈과사,1900-01-01,1059,0,루벤마물리안,"타이론파워,린다다넬,리타헤이워드"
황금 주먹,1900-01-01,1713,0,루벤마물리안,0
실크 스타킹,1900-01-01,1733,0,루벤마물리안,"프레드아스테어,시드카리스,자니스페이지"
포스 마쥬어: 화이트 베케이션,2015-03-12,5449,(주)블룸즈베리리소시스리미티드,루벤외스틀룬드,"요하네스쿤케,리사로벤콩슬리"
더 스퀘어,2018-08-02,17033,아이엠,루벤외스틀룬드,"클라에스방,엘리자베스모스,도미닉웨스트"
좀비랜드: 더블 탭,2019-11-13,136883,한국소니픽쳐스릴리징브에나비스타영화㈜,루벤플레셔,"우디해럴슨,제시아이젠버그,아비게일브레스린,엠마스톤"
베놈,2018-10-03,3888096,한국소니픽쳐스릴리징브에나비스타영화㈜,루벤플레셔,"톰하디,미쉘윌리엄스,리즈아메드,제니슬레이트"
알.이.씨 오큐판트,2017-11-15,1,주식회사레드아이스,루스엠마누엘,로버트피카르도
더 레슨: 마지막 수업,2017-01-02,60,(주)블루브릭,루스플랫,"로버트핸즈,에번벤들,미하엘라프로할로바,톰콕스,로리콜타트"
쓰레기통 속의 대화,1900-01-01,113,0,루스헤시,0
더 컬링,2016-04-08,10,(주)콘텐츠윙,루스탐브라나먼,제레미섬터
밑 빠진 가방,1900-01-01,41,0,루스탐캄다모프,"안나미할코프,알라데미도봐"
퍼펙트 내니,2020-04-23,1,주식회사세미콜론스튜디오,루시보리튜,"카린비아르,레일라벡티"
"쓰나미, 벚꽃 그리고 희망",1900-01-01,87,0,루시워커,0
웨이스트 랜드,2014-04-03,2830,나이너스엔터테인먼트(주),루시워커,빅뮤니츠
부에나 비스타 소셜 클럽 2: 아디오스,2017-10-26,4122,0,루시워커,"이브라힘페레르,오마라포르투온도,과지리토미라발"
골든 아워,1900-01-01,15,0,루시파헤이,0
죽음의 천사,2014-05-29,96,(주)컴퍼니엘,루시아푸엔조,"알렉스브렌데뮬,나탈리아오레이로,디에고퍼레티"
벨라 키스,2014-07-30,1964,(주)에이블엔터테인먼트,루시앙포스트너,크리스티나크레브
세기의 끝,1900-01-01,44,0,루시오카스트로,0
미스테리 예고살인,2014-07-23,20,스크린조이,루시우스C.쿠에트,"로버트미아노,대니글로버,마틴랜도,빌리제인"
사로얀랜드,1900-01-01,53,0,루신딩크,커보크말리키안
수춘도 2: 수라전장,2017-11-23,191,주식회사풍경소리,루양,장첸
연인들,1900-01-01,72,0,루이말,0
데미지,1994-12-17,3018,예지림엔터테인먼트,루이말,"제레미아이언스,줄리엣비노쉬,미란다리차드슨,루퍼트그레이브즈"
굿바이 칠드런,1989-12-24,6409,백두대간,루이말,"가스파스마네스,라파엘페이토,프랜신라세트"
더 게임 체인저스,1900-01-01,7,0,루이시호요스,0
레이싱 익스팅션,1900-01-01,365,0,루이시호요스,0
더 코브: 슬픈 돌고래의 진실,2009-10-29,3166,(주)스폰지이엔티,루이시호요스,"조치숌,맨디-래크루이크생크,이사벨루카스,헤이든파네티어,루이시호요스"
아파트에 갇힌 꿈,1900-01-01,40,0,루이왕핑,0
아스테릭스: 마법 물약의 비밀,2019-12-12,12714,(주)박수엔터테인먼트,"루이클리시,알렉상드르아스티에","박성영,서반석"
아스테릭스: 신들의 전당,2015-04-30,15315,나이너스엔터테인먼트(주),"루이클리시,알렉상드르아스티에","알랭샤바,로랑라피트,제라르딘나카체"
발레 공연,1900-01-01,35,0,루이토마,0
황야는 통곡한다,1971-01-24,312,0,루이기바쪼니,"프랑코네로,티나오몽,클라우스킨스키"
새벽의 7인,1976-09-03,428,0,루이스길버트,"티모시바톰즈,마틴쇼,조스아클랜드"
비스마르크호를 격침하라,1900-01-01,692,0,루이스길버트,"케네스모어,데이너윈터,칼모너"
거북이,1900-01-01,6,0,"루이스다마타알메이다,페드로리노",0
스페셜리스트,1994-11-19,41,0,루이스로사,"실베스터스탤론,샤론스톤,제임스우즈"
스나이퍼,1993-02-20,70,0,루이스로사,0
그해 우리가 발견한 것,1900-01-01,53,0,루이스로페즈카라스코,0
3D 프린팅: 전설을 만들다,1900-01-01,89,0,"루이스로페즈,J.클레이트윌",브리페티스
마리솔의 리틀 앤젤스,1971-07-24,123,0,루이스루시아,0
길은 멀어도 마음만은,1977-07-16,3773,0,루이스루시아,"마리솔,안셀무두아르테,마리아마호르"
트랜스포터 엑스트림,2005-10-20,89988,이십세기폭스코아(주),루이스리테리어,"제이슨스타뎀,앰버발레타"
더 독,2005-09-16,321205,(주)아펙스엔터테인먼트,루이스리테리어,"이연걸,모건프리먼"
인크레더블 헐크,2008-06-12,991417,유니버설픽쳐스인터내셔널코리아(유),루이스리테리어,"에드워드노튼,리브타일러"
타이탄,2010-04-01,2643969,워너브러더스코리아(주),루이스리테리어,"랄프파인즈,샘워싱턴,리암니슨,알렉사다바로스,젬마아터튼"
나우 유 씨 미 : 마술사기단,2013-08-22,2718237,롯데쇼핑㈜롯데엔터테인먼트,루이스리테리어,"제시아이젠버그,마크러팔로,우디해럴슨,멜라니로랑,아일라피셔,데이브프랑코,마이클케인,모건프리먼"
바운티 호의 반란,1900-01-01,49,0,루이스마일스톤,0
몬테즈마의 영웅들,1900-01-01,126,0,루이스마일스톤,"리차드위드마크,잭팰런스,레지날드가디너"
레 미제라블,1900-01-01,847,0,루이스마일스톤,"마이클레니,데브라파겟,로버트뉴턴"
서부 전선 이상 없다,1900-01-01,1231,0,루이스마일스톤,"루이스울하임,루에어스,존레이"
오션스 일레븐,1962-01-20,2056,0,루이스마일스톤,"프랭크시나트라,딘마틴,새미데이비스주니어"
개선문,1900-01-01,2894,0,루이스마일스톤,"잉그리드버그만,샤를르보와이에"
포크 촙 힐,1900-01-01,4221,0,루이스마일스톤,0
하얀궁전,1991-05-04,23,0,루이스만도키,"수잔서랜든,제임스스페이더,제이슨알렉산더"
병속에 담긴 편지,1999-04-24,182,0,루이스만도키,"케빈코스트너,로빈라이트,존세비지"
이노센트 보이스,2008-08-28,381,㈜스튜디오이쩜영,루이스만도키,"카를로스파딜라,레오노어바레라"
정어리 통조림,1900-01-01,55,0,루이스메리콜론,0
라밤바,1988-05-28,66,콜럼비아픽쳐스코포레이션,루이스발데즈,루다이아몬드필립스
비리디아나,1900-01-01,913,0,루이스부뉴엘,"실비아피날,프란시스코라발,페르난도레이"
욕망의 모호한 대상,1999-03-27,6,0,루이스브뉘엘,0
젊은이,1900-01-01,35,0,루이스브뉘엘,0
자유의 환영/자유의 환상,1900-01-01,64,0,루이스브뉘엘,"장클로드브리알리,아돌포셀리,미첼피콜리"
어느 하녀의 일기,1900-01-01,91,0,루이스브뉘엘,"잔느모로,조지스게레,다니엘이베넬"
폭풍의 언덕,1900-01-01,122,0,루이스브뉘엘,"호르헤미스트랄,에르네스토알론소,프란시스코레이규에라"
절멸의 천사,1900-01-01,188,0,루이스브뉘엘,0
나자린,1900-01-01,197,0,루이스브뉘엘,"프란시스코라발,헤수스페르난데즈,루이스아세베스카스타네다"
세브린느,1971-05-08,454,0,루이스브뉘엘,"까뜨린느드뇌브,장소렐,미첼피콜리"
부르주아의 은밀한 매력,1900-01-01,853,0,루이스브뉘엘,"페르난도레이,폴프랭커,델핀세리그"
리처드 링클레이터: 꿈의 연대기,1900-01-01,39,0,루이스블랙,0
바르바라 비르지니아는 누구인가,1900-01-01,10,0,루이스세큐어라,0
스윙어:막장불륜멜로,2019-12-09,1,(주)소나무픽쳐스,루이스스모크,0
숨바꼭질: 어둠의 속삭임,2017-08-10,5,(주)액티버스엔터테인먼트,루이스퀼레즈,"줄리아스타일스,스코트스피드먼,알레안드로퍼스"
특전대네이비 씰,1991-02-09,17,0,루이스티그,"찰리쉰,마이클빈,조앤웨일리"
나일의 대모험,1991-10-19,25,0,루이스티그,"마이클더글라스,캐서린터너,대니드비토"
길,1900-01-01,55,0,루이스파리,0
로스트 인 라만차,1900-01-01,25,0,"루이스페페,키스풀톤","토니그리소니,필립A.패터슨,르네클레이망"
고래와 창녀,2006-07-13,1205,프리비젼엔터테인먼트,루이스푸엔조,"레오나르도스바라글리아,아이타나산체스-기욘"
푸셔: 파이널 프로젝트,2013-12-04,420,스크린조이,루이스프리에토,리차드코일
키드냅,2017-11-22,27926,(주)제이앤씨미디어그룹,루이스프리에토,할리베리
바이킹 워,2019-10-15,1,(주)이놀미디어,루이자워렌,다시링컨
크로우 라이징,2019-05-23,1,(유)조이앤컨텐츠그룹,루이자워렌,"클레어-마리아폭스,매니제이몬타나,클루딘-헬렌아모르"
사이버 브라이드,2020-11-25,1,(주)플릭스코,루이자워렌,"레베카핀치,앤드류홀링워스,클루딘-헬렌아모르"
페이건 워리어,2020-06-02,1,0,루이자워렌,"피터코스그로브,샤일라알바레즈,다렐그릭스"
더티 워크,2019-12-19,60,0,루이자워렌,클루딘-헬렌아모르
스크림: 허수아비의 저주,2019-10-02,101,0,루이자워렌,0
리우 2096,2016-08-11,261,㈜영화사백두대간,루이즈볼로네지,셀튼멜로
켄 로치의 삶과 영화,1900-01-01,89,0,루이즈오스몬드,0
재판에 선 도시,1900-01-01,29,0,루이지잠파,0
천사의 시,1900-01-01,291,0,루이지코멘치니,"안소니퀘일,스테파노콜라그랜드,시몬느지아노지"
부베의 여인,1900-01-01,2551,0,루이지코멘치니,"클라우디아카르디날레,조지샤키리스,마크미셸"
라스트 콘서트,1977-02-18,298,0,루이지코지,"리차드존슨,파멜라빌로레시,마리아안토미에타"
세상에서 가장 행복한 소년,1900-01-01,15,0,루이지피토리노,0
"칼 라거펠트, 인생을 그리다.",1900-01-01,14,0,루익프리정,0
강박관념,1900-01-01,25,0,루치노비스콘티,"클라라칼라마이,마시모지로티,디아크리스티아니"
폭력과 열정,1900-01-01,113,0,루치노비스콘티,"버트랭카스터,헬무트베르거,실바나망가노"
흔들리는 대지,1900-01-01,265,0,루치노비스콘티,0
레오파드,1900-01-01,734,0,루치노비스콘티,0
희미한 곰별자리,1900-01-01,768,0,루치노비스콘티,"클라우디아카르디날레,장소렐,마이클크레그"
센소,1900-01-01,1444,0,루치노비스콘티,0
로코와 그의 형제들,1900-01-01,1492,0,루치노비스콘티,"알랭들롱,레나토살바토리,애니지라르도"
백야,1900-01-01,2406,0,루치노비스콘티,"마리아쉘,마르첼로마스트로야니,장마라이"
라 차나,1900-01-01,156,0,루치아스토예비치,0
특별수사대,2017-03-23,1,(주)시네마리퍼블릭,루치아노세이버,"루크고스,라이언구즈만,라이언구즈만"
히우네그루의 이야기,1900-01-01,112,0,루치아노커리,0
비거 스플래쉬,2016-08-03,15369,찬란,루카구아다그니노,"틸다스윈튼,랄프파인즈,마티아스쇼에나에츠,다코타존슨"
아이 엠 러브,2011-01-20,55598,(주)영화사진진,루카구아다그니노,"플라비오파렌티,틸다스윈튼,에도아르도가브리엘리니,알바로르와처"
베르톨루치가 말하는 베르톨루치,1900-01-01,114,0,"루카구아다그니노,월터파사노","베르나르도베르톨루치,루카구아다니노,브루노토리"
서스페리아,2019-05-16,33108,(주)홈초이스,루카구아다니노,"다코타존슨,틸다스윈튼,미아고스,클로이모레츠"
콜 미 바이 유어 네임,2018-03-22,226340,(주)디스테이션,루카구아다니노,"티모시샬라메,아미해머,마이클스털버그,아미라캐사,에스더가렐"
바티칸 뮤지엄,2015-01-08,11027,(주)팝엔터테인먼트,루카드마타,채시라
웰컴 투 사우스,2012-12-13,2710,(주)나이너스엔터테인먼트,루카미니에로,"클라우디오비시오,알레산드로시아니,안젤라피노치아로,발렌티나로도비니"
좀비아포칼립스:파이널,2016-01-21,1,주식회사루믹스미디어,루카보니,"앤드류하우드밀스,단반후센,아론스티엘스트라"
워리어 스타,2015-05-21,40,주식회사루믹스미디어,"루카보니,마르코리스토리",에드리언보쳇
가벨라 극장의 움직이는 포스터,1900-01-01,51,0,루카부젝,0
쇼 미 러브,1900-01-01,64,0,루카스무디슨,0
우아한 나체들,1900-01-01,62,0,루카스발렌타리너,"파블로세이조,마틴샨리,안드레아스트레니츠"
납치,1900-01-01,11,0,루카스벨보,0
약한 자들의 음모,1900-01-01,26,0,루카스벨보,"나타샤레니에,에릭카라바카,루카스벨보"
꼬마비행기 피티와 친구들:사막구출 대작전,2018-11-22,13710,와이드릴리즈(주),루카스퀴아오,0
펭이와 친구들의 남극대모험,2018-02-28,22695,와이드릴리즈(주),루카스퀴아오,"김소희,황창영,윤아영"
유어 무브,2017-12-14,1,모비딕엔터테인먼트(주),루크고스,"루크고스,로버트다비"
내겐 너무 아찔한 그녀,2004-10-08,5522,이십세기폭스코리아(주),루크그린필드,"에밀허쉬,엘리샤커스버트"
러브 앤 프렌즈,2011-06-16,110795,롯데쇼핑㈜롯데엔터테인먼트,루크그린필드,"케이트허드슨,지니퍼굿윈"
워하우스: 죽음의 표식,2016-07-08,54,(주)나우콘텐츠,루크마세이,"조셉모건,맷라이언"
토스카,2014-03-15,1505,0,루크본디,"요나스카우프만,카리타마틸라,유하우시탈로"
부!,2019-08-14,1,주식회사루믹스미디어,루크제이든,질마리존스
로널드 랭의 분열된 자아,1900-01-01,4,0,루크포울러,0
늪,1900-01-01,41,0,루크레시아마르텔,"메르세데스모란,그레이시엘라보게스,마틴아드제미안"
머리 없는 여인,1900-01-01,48,0,루크레시아마르텔,0
자마,2021-08-26,91,M&M인터내셔널,루크레시아마르텔,"다니엘지멘네즈카초,메디우스나치터가엘"
홀리 걸,1900-01-01,99,0,루크레시아마르텔,"메르세데스모란,카를로스벨로소,알레한드로우르다필레타"
브로큰,2013-07-18,2810,판씨네마(주),루퍼스노리스,"킬리언머피,팀로스,엘로이스로렌스"
주디,2020-03-25,92466,TCO(주)더콘텐츠온,루퍼트굴드,르네젤위거
하이크,2012-11-15,100,(주)스넵쏘울,루퍼트브라이언,"바바라네델자코바,타머하산"
스노우 화이트 앤 더 헌츠맨,2012-05-30,636631,유니버설픽쳐스인터내셔널코리아(유),루퍼트샌더스,"샤를리즈테론,크리스틴스튜어트,크리스헴스워스"
공각기동대 : 고스트 인 더 쉘,2017-03-29,764072,롯데쇼핑㈜롯데엔터테인먼트,루퍼트샌더스,"스칼렛요한슨,마이클피트,마이클윈코트,요한필리프아스베크,기타노다케시"
캡티브 스테이트,2019-11-14,1131,CJENM,루퍼트와이어트,"베라파미가,존굿맨"
혹성탈출: 진화의 시작,2011-08-17,2773794,이십세기폭스코리아(주),루퍼트와이어트,"브라이언콕스,제임스프랭코,프리다핀토"
오페라의 유령,1900-01-01,57,0,"루퍼트줄리앙,론채니","론채니,메리필빈,노먼케리"
스티브,1900-01-01,332,0,루퍼트프렌드,"콜린퍼스,키이라나이틀리,톰마이슨"
드라큘라 레전드,2016-05-19,1,(유)조이앤컨텐츠그룹,루페시폴,"미치포웰,패트리시아두아르테"
마천루,1900-01-01,20,0,룬쉐에트,0
러브인베를린,2015-12-17,1,(주)블루브릭,룰루왕,"잭휴스턴,브릿말링,톰쉴링,램버트윌슨"
페어웰,2021-02-04,747,오드,룰루왕,"아콰피나,자오슈젠"
킬링 타임,1900-01-01,49,0,뤼디위쇼클로델,0
이노센스,1900-01-01,23,0,뤼실하지할릴러비치,0
로나의 침묵,2009-06-04,4431,실버스푼,"뤽다르덴,장피에르다르덴","아르타도브로시,파브리지오롱기온,제레미레니에"
언노운 걸,2017-05-03,25480,오드,"뤽다르덴,장피에르다르덴","아델에넬,올리비에구르메"
음악으로 통한다 2011-재즈싱어공연+앙드레 마티유,1900-01-01,275,0,뤽디온느,0
앙드레 마티유,2011-01-13,4352,0,뤽디온느,"마크비랜드,로데어블루토,브누아브리에르"
체르노빌 - 다시 쓰는 자연사,1900-01-01,43,0,뤽리올롱,0
마지막 전투,2000-10-07,10,0,뤽베송,"피에르졸리베,장부이스,프리츠웨퍼"
아틀란티스 : 바다의 오페라,2014-07-30,10,스크린조이,뤽베송,0
제5원소,1997-07-17,28,(주)팝엔터테인먼트,뤽베송,"브루스윌리스,밀라요보비치,게리올드만"
그랑 부르,1993-05-15,275,0,뤽베송,0
제 5원소 리마스터링 감독판,2013-11-20,677,(주)팝엔터테인먼트,뤽베송,"브루스윌리스,밀라요보비치,게리올드만"
위험한 패밀리 패밀리 에디션,1900-01-01,1920,(주)프레인글로벌,뤽베송,"로버트드니로,미셀파이퍼"
블랑섹의 기이한모험,2013-02-07,2023,(주)소나무픽쳐스,뤽베송,"루이스보르고인,니콜라스지로드,마티유아말릭,질를르슈,장-폴루브"
니키타,1990-06-30,5581,사무엘골드윈컴퍼니,뤽베송,"안느파릴로,장-위그앙글라드,체키카료"
레옹 디 오리지널,2020-06-11,12403,(주)제이앤씨미디어그룹,뤽베송,"장르노,나탈리포트만,게리올드만"
더 레이디,2012-09-06,16089,CJENM,뤽베송,"양자경,데이빗듈리스"
위험한 패밀리,2014-01-22,17539,(주)프레인글로벌,뤽베송,"로버트드니로,미셀파이퍼,토미리존스,다이아나애그론"
그랑블루 리마스터링 감독판,2013-07-25,22379,(주)팝파트너스,뤽베송,"장르노,장마크바,로잔나아퀘트"
아더와 미니모이 2 : 셀레니아 공주 구출 작전,2010-07-08,44245,롯데쇼핑㈜롯데엔터테인먼트,뤽베송,"프레디하이모어,미아패로우,셀레나고메즈,스테이시퍼거슨"
레옹,1995-02-18,45923,(주)제이앤씨미디어그룹,뤽베송,"장르노,게리올드만,나탈리포트만"
아더와 미니모이 3: 두 세계의 전쟁,2015-11-05,61550,(주)라이크콘텐츠,뤽베송,"프레디하이모어,미아패로우,페니밸포어"
안나,2019-08-28,116029,판씨네마(주),뤽베송,"사샤루스,킬리언머피,루크에반스,헬렌미렌"
아더와 미니모이-제1탄비밀원정대의출정,2009-07-09,126546,롯데쇼핑㈜롯데엔터테인먼트,뤽베송,"프레디하이모어,미아패로우"
발레리안: 천 개 행성의 도시,2017-08-30,512867,판씨네마(주),뤽베송,"데인드한,카라델러비인,리한나,클라이브오웬"
루시,2014-09-03,1974893,유니버설픽쳐스인터내셔널코리아(유),뤽베송,"스칼렛요한슨,모건프리먼,최민식,신유람"
펭귄-위대한 모험 2,2018-03-01,2813,윤스,뤽자케,장현성
펭귄 - 위대한 모험(다큐),2005-08-11,78479,(주)튜브엔터테인먼트,뤽자케,샤를스베르링
세스의 만화왕국,1900-01-01,18,0,뤽챔버랜드,0
"사가 시티, 에코 시티!",1900-01-01,27,0,뤽챔버랜드,0
진실 - 관타나모에서의 4일,1900-01-01,76,0,"뤽코떼,파트리시오엔리케스",0
나를 찔러 봐,1900-01-01,58,0,류건,0
바람이 지나가는 소리,1900-01-01,49,0,류무선,0
엄마...,2005-03-04,17,0,류미례,0
아이들,1900-01-01,71,0,류미례,"하은,한별,은별"
친구 - 나는 행복하다2,1900-01-01,83,0,류미례,0
피도 눈물도 없이,2002-02-28,23,CJENM,류승완,"전도연,이혜영,정재영,류승범,허명행,임지우,신수현,김훈,김희송,김유철,박정,류승현,김병호,봉준호,이무영,김경수,이상각,김태훈,이지호,박병문,오승욱,권승구,오혜성,김찬호,오규택,이진구,양홍삼,양길영,이재선,백일섭,천성훈,안길강,김수현,김종언,이봉규"
군함도 감독판,1900-01-01,210,CJENM,류승완,"황정민,소지섭,송중기,이정현,김수안,지웅배"
죽거나 혹은 나쁘거나,2000-07-15,1472,(주)라이크콘텐츠,류승완,"류승완,류승범,박성빈,배중식,김수현,정재영,임원희,안길강,기주봉,천성훈,박성일"
다찌마와리,2008-08-14,628359,(주)쇼박스,류승완,"임원희,공효진,박시연,황보라,구본웅,김수현,김현우,이수현,류승범,강구현,허명행,송민석,송선찬,김동후,박지만,황정욱,노남석,주아영,류승완,권지훈,차주한,민지민,민지민,민지민,박갑진,곽진석,윤대원,윤대원,최봉록,권귀덕,권문철,권문철,이아영,이용신,양태용,김영인,이현주,정우,김병옥,조덕현,정석용,천성훈,조상건,안길강,오지혜,김뢰하,이도겸,이영아,김동후,이정민,곽진석"
아라한 장풍대작전,2004-04-30,810430,CJENM,류승완,"류승범,윤소이,안성기,김수현,김지영,허명행,김효선,심재원,도영훈,이무룡,윤도현,장혁진,정두홍,권승구,이춘영,임하룡,유순철,이대연,안길강,윤주상,권범택"
짝패,2006-05-25,1021638,CJENM,류승완,"김효선,정두홍,류승완,이범수,김꽃비,김동영,김수현,박지환,정희정,조규철,김원중,신성일,김미라,박주천,최태영,주형진,지중현,김덕현,박대희,구자훈,권귀덕,박상재,정은미,최영남,권승구,이종연,이진선,김정환,이인우,이혜림,이재욱,정우,김병옥,조덕현,정석용,안길강,김시후,이주실,김기천,박영서"
주먹이 운다(Crying Fist),2005-04-01,1462972,쇼이스트(주),류승완,"최민식,류승범,임원희,변희봉,나문희,기주봉,오달수,심재원,권용덕,서혜린(정희숙),정민혁,김영인,이윤선,이정현,김병옥,안길강,천호진,김성훈,이원석,박대희,김지훈,김수현,이태준,김효정,김효선,황재근,양민석,이도겸,박준면,정인기,김기천"
부당거래,2010-10-28,2725860,CJENM,류승완,"황정민,김승훈,류승범,유해진,천호진,마동석,김원범,최정현,황병국,조준현,조철현,박형준,한동욱,한상욱,한성희,류수경,한재덕,강유미,서지영,박광호,박미숙,박민정,박민정,박민정,전봉수,전진영,박세준,임정언,권성현,최우성,온세웅,연영식,오상진,김종민,이춘연,이유빈,백승익,오승현,이채은,이미도,이희준,오정세,안길강,김수현,조영진,정만식,차은재,이화룡,김규남,김기천,곽자형,곽진석,김서원"
