영화명,개봉일,누적관객수,배급사,감독,배우
알렉산더,2004-12-31,1310601,CJENM,올리버스톤,"콜린파렐,안젤리나졸리,발킬머,안소니홉킨스"
걸 인 더 미러,1900-01-01,3,0,올리버콜트레스,"나탈리아브레아,펠리시아청,코트니힌튼"
인베이젼,2007-09-20,556157,워너브러더스코리아(주),올리버히르비겔,"니콜키드먼,다니엘크레이그"
크림슨 리버2,2005-09-01,140692,미디어라인코리아,올리비에다한,"장르노,브누와마지멜"
트랜스포터-라스트 미션,2009-01-08,937224,(주)시너지하우스(시너지),올리비에메가턴,"제이슨스타뎀,나탈리아루다코바"
보딩 게이트,2008-02-21,79,라인트리엔터테인먼트,올리비에아사야스,"아시아아르젠토,마이클매드슨"
운명,1900-01-01,98,0,올리비에아사야스,"엠마누엘베아르,샤를스베르링,이자벨위페르,올리비에페리에"
클린,2004-11-26,6634,(주)스폰지이엔티,올리비에아사야스,"장만옥,닉놀테"
왜 나는 수학이 싫어졌을까?,1900-01-01,26,0,올리비에페이용,0
오르페브르 36번가,2006-06-15,633,KBS,올리비에르마샬,"다니엘오떼유,제라르드빠르디유"
스노우 보더,2003-12-24,4552,쇼이스트(주),올리아스바르코,"니콜라스뒤보셸,그레고리콜린"
신주쿠 여고생 납치사건(완전한 사육),2005-10-14,452,프리비젼엔터테인먼트,와다벤,"코지마히지리,타케나카나오토"
봄의 메커니즘,1900-01-01,116,0,와다아츠시,0
"가라, 가라 두 번째 처녀",2008-04-22,127,0,와카마츠코지,"아키야마미치오,코자쿠라미미"
츠보미 여닌자의 흡입술,2018-01-04,1,(주)도키엔터테인먼트,와타나베모토즈쿠,0
장난치는 관능천사,2018-01-25,1,(주)도키엔터테인먼트,와타나베모토츠구,0
버진 스나이퍼,1900-01-01,51,0,와타나베모토츠구,"하야시유미카,호타루유키지로"
카우보이 비밥-천국의문,2003-10-03,57,콜럼비아트라이스타㈜,와타나베신이치로,"이시즈카운쇼,야마데라코이치"
극장판 도라에몽: 진구의 공룡대탐험,2009-07-15,225097,대원미디어(주),와타나베아유무,미즈타와사비
사무라이vs좀비,2017-07-25,1,(주)아이브픽쳐스,와타나베카즈시,0
플레이 플레이 소녀,1900-01-01,309,0,와타나베켄사쿠,"아라가키유이,나가야마켄토,에모토토키오"
아저씨 우리 결혼할까요?,2004-10-15,4,씨네파크,완세생,"채탁연,정이건,오요한"
슈퍼 베어,2020-01-15,15164,와이드릴리즈(주),왕치,"김기두,서반석,박성영"
왕가위 스폐셜-화양연화,2008-03-08,12,0,왕가위,"양조위,장만옥"
열혈남아,1989-10-14,106,(주)디스테이션,왕가위,"유덕화,장만옥,장학우,만자량"
타락천사,1995-12-23,588,(주)디스테이션,왕가위,"여명,이가흔,금성무,양채니,막문위"
화양연화,2000-10-20,726,(주)디스테이션,왕가위,"장만옥,양조위"
2046,2004-10-15,122913,(주)디스테이션,왕가위,"양조위,공리,왕비,기무라다쿠야,장쯔이,유가령,장첸,장만옥"
마이 블루베리 나이츠,2008-03-06,153136,(주)쇼박스,왕가위,"주드로,노라존스"
에로스,2005-06-30,28827,(주)스폰지이엔티,"왕가위,스티븐소더버그,미켈란젤로안토니오니","공리,장첸,로버트다우니주니어,알란아킨"
플라스틱 차이나,1900-01-01,141,0,왕구량,0
사령혼: 죽은 넋,1900-01-01,107,0,왕빙,0
미인모집,1900-01-01,76,0,왕슈천,0
원숭이 산,1900-01-01,76,0,왕슈천,0
알리푸,1900-01-01,7,0,왕유린,0
완벽한 인생,1900-01-01,53,0,외즈귈귀르뷔즈,0
수증기에 맺힌 인생,1900-01-01,82,0,"요나스베리헬,미카호타카이넨",0
서칭 포 빌,1900-01-01,118,0,요나스포헤르라스무센,0
마루 밑 아리에티,2010-09-09,1065967,CJENM,요네바야시히로마사,"시다미라이,카미키류노스케,미우라토모카즈,이선영,엄상현,장광,최수민,홍범기"
베오그라드의 유령,1900-01-01,124,0,요반B.토도로비치,"밀루틴밀로세빅,마코지빅,라도슬라프밀렌코빅"
아키츠 온천,1900-01-01,111,0,요시다기주,0
카페 이소베,1900-01-01,262,0,요시다케이스케,"미야사코히로유키,나카리이사"
꿈은 소의 수의사,1900-01-01,211,0,요시아키토키타,0
이브의 시간 극장판,1900-01-01,231,0,요시우라야스히로,"후쿠야마쥰,이토미키,노지마켄지"
날씨 아나운서의 정사,2018-01-11,1,(주)도키엔터테인먼트,요시유키유미,0
릴리와 동물 친구들,1900-01-01,29,0,요아킴마사넥,"크리스토프마리아허브스트,톰베크"
반유대주의에 대한 보고서,1900-01-01,218,0,요아프샤밀,0
깝스,2003-11-05,103,인터비스앤파트너스(주),요제프파레스,"토켈페터슨,파레스파레스"
세상에 없던 무기도 만들어 드립니다,1900-01-01,5,0,요탐펠드먼,0
366일,1900-01-01,27,0,요하네스쉬슬,"피터호만세더,호세래츠칠러"
비엔나 미술사 박물관,1900-01-01,13,0,요하네스홀즈하우젠,0
섀도 월드,1900-01-01,41,0,요한흐리몬프러,0
순수는 모든 것을 이긴다,1900-01-01,1,0,욘방카를센,0
마지 도리스,1900-01-01,18,0,욘블로헤드,0
봄날의 곰을 좋아하세요?,2003-10-24,14,(주)튜브엔터테인먼트,용이,"배두나,김남진,김향숙,한영애,윤종신,이얼,윤지혜,김홍표"
유랑북경,1900-01-01,13,0,우웬광,0
살아남은 자의 송가,1900-01-01,50,0,우광의,0
에라얏챠 요이,1900-01-01,18,0,우나카미미사코,0
원피스 - 기계태엽성의 메카거병,2006-10-26,569039,(주)엠케이픽처스,우다코우노스케,타나카마유미
카이로의 붉은 장미,1900-01-01,444,0,우디알렌,0
헐리우드 엔딩,2005-09-30,7664,㈜영화사백두대간,우디알렌,"테이어레오니,우디알렌"
우디 앨런의 애니씽 엘스,2005-02-04,9096,(주)동숭아트센터,우디알렌,"우디알렌,크리스티나리치,제이슨빅스"
매치 포인트,2006-04-13,127743,(주)퍼스트런,우디알렌,"조나단리스마이어스,스칼렛요한슨"
우디 알렌의 부부일기,1900-01-01,143,0,우디앨런,"우디앨런,미아패로,시드니폴락"
애니 홀,1900-01-01,187,0,우디앨런,"우디앨런,다이안키튼,토니로버츠"
유토피아,1900-01-01,22,0,우루퐁락사사드,0
물병에 갇힌 지구,1900-01-01,39,0,우르스슈넬,0
우리가 만든 책들,1900-01-01,5,0,우마타누쿠,0
미인아내 불륜정사,2017-08-31,9,(주)플라이어,우미테루카즈,0
파괴된 사나이,2010-07-01,1012310,(주)시너지하우스(시너지),우민호,"김명민,엄기준,박주미,이병준,김소현,이경근,박지애,김병욱,김태호,최민서,이희주,임윤주,박수용,오민석,이나경,신현종,안서현,김응수,최광일"
물을 찾는 불 위의 여자,1900-01-01,6,0,우밍진,0
지상 최후의 사나이,1900-01-01,162,0,우발도라고나,"빈센트프라이스,프란카베토이아,엠마다니엘리"
변태 유부녀 치욕일기,2019-06-05,1,주식회사미콘,우스바시스이,요시카와아이미
잃어버린전설,1900-01-01,2713,0,우얼샨,0
동백정원,1900-01-01,591,0,우에다요시히코,"후지스미코,심은경,다나베세이치"
단탈리안의 서가,1900-01-01,75,0,우에무라유타카,"사와시로미유키,오노다이스케"
야반가성,1996-01-27,9,0,우인태,"오천련,장국영,황뢰"
프레디 대 제이슨-13일의 금요일11,2004-08-27,47430,(주)영화사한결,우인태,"켈리로랜드,모니카키나"
무인 곽원갑,2006-03-23,308428,쇼이스트(주),우인태,"이연걸,나카무라시도"
아스톤의 선물,1900-01-01,50,0,우지게펜블레드,0
온화한 일상,1900-01-01,64,0,우치다노부테루,"스기노키키,시노하라유키코,타케시야마모토"
펠리칸 베이커리,2020-04-02,665,(주)영화사진진,우치다슌타로,"와타나베리쿠,나기히로유키,이토마사코"
민중의 용기,1900-01-01,40,0,우카마우집단,0
니벨룽겐의 반지,2005-10-28,21,한국소니픽쳐스릴리징브에나비스타영화㈜,울리에델,벤노퓨어만
생선의 종말,1900-01-01,73,0,울리헨리크슈트레켄바흐,0
수입/수출,2008-06-19,237,(주)스폰지이엔티,울리히세이들,"에카테리나락,파울호프만"
건축의 얼굴을 바꾸다: 5명의 여성 건축사들,1900-01-01,86,0,울탄길포일,0
맥덜,2004-09-03,3812,(주)스폰지이엔티,원건도,"황추생,임해봉"
DOA,2006-10-19,129753,CJENM,원규,"제이미프레슬리,데본아오키"
빵과 우유,1900-01-01,16,0,원신연,원풍연
구타유발자들,2006-05-31,143061,(주)프라임엔터테인먼트,원신연,"한석규,이문식,오달수,차예련,김시후,이병준,정경호,신현탁,천은정,진용욱"
가발,2005-08-12,448161,CJENM,원신연,"방중현,채민서,유선,류현민,서현선,이윤희,진용욱"
세븐 데이즈,2007-11-14,2048339,(주)프라임엔터테인먼트,원신연,"김윤진,김미숙,박희순,최명수,장항선,양진우,정동환,이도겸,조덕현,서동수,신현종,길해연,강나일,신영훈,김남원,김노경,유성철,윤재웅,임경진,오현철,김정필,신성일,오광록,옥지영,권병길,진용욱,정종열,곽진석"
합격을 기다리는 사람들,1900-01-01,53,0,원치현,0
슬픔보다 더 슬픈 이야기,2009-03-11,715800,(주)쇼박스,원태연,"권상우,이보영,이범수,손현수,김흥국,최종학,박정아,박정환,조은란,김민형,박호진,김경선,윤석원,박미애,박선영,정윤미,정종우,이승철,양혜원,이하진,이형민,신현탁,이한위,지대한,김경룡"
633 폭격대,1900-01-01,74,0,월터그루먼,"클리프로버트슨,조지샤키리스,마리아퍼쉬"
